timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200225235434	2020-02-25 23:54:34	Algeria	1	0	0		0
20200226234848	2020-02-26 23:48:48	Algeria	1	0	0		0
20200227234720	2020-02-27 23:47:20	Algeria	1	0	0		0
20200228231028	2020-02-28 23:10:28	Algeria	1	0	0		0
20200229235144	2020-02-29 23:51:44	Algeria	1	0	0	1	0
20200301234648	2020-03-01 23:46:48	Algeria	2	0	0	2	0
20200302224751	2020-03-02 22:47:51	Algeria	3	0	0	3	0
20200303231332	2020-03-03 23:13:32	Algeria	8	0	0	8	0
20200304230748	2020-03-04 23:07:48	Algeria	17	0	0	17	0
20200305224916	2020-03-05 22:49:16	Algeria	17	0	0	17	0
20200306224331	2020-03-06 22:43:31	Algeria	17	0	0	17	0
20200307225610	2020-03-07 22:56:10	Algeria	19	0	0	19	0
20200308232251	2020-03-08 23:22:51	Algeria	20	0	0	20	0
20200309234747	2020-03-09 23:47:47	Algeria	20	0	0	20	0
20200310233243	2020-03-10 23:32:43	Algeria	20	0	0	20	0
20200311234701	2020-03-11 23:47:01	Algeria	20	0	0	20	0
20200312233926	2020-03-12 23:39:26	Algeria	26	2	10	14	0
20200313235940	2020-03-13 23:59:40	Algeria	26	2	10	14	0
20200314235906	2020-03-14 23:59:06	Algeria	37	3	10	24	0
20200315231920	2020-03-15 23:19:20	Algeria	48	4	10	34	0
20200316232604	2020-03-16 23:26:04	Algeria	60	4	10	46	0
20200317234753	2020-03-17 23:47:53	Algeria	61	5	10	46	0
20200318234401	2020-03-18 23:44:01	Algeria	61	5	10	46	0
20200319131523	2020-03-19 13:15:23	Algeria	75	7	32	36	0
20200320120009	2020-03-20 12:00:09	Algeria	90	9	32	49	0
20200321120003	2020-03-21 12:00:03	Algeria	94	11	32	51	0
20200322120004	2020-03-22 12:00:04	Algeria	139	15	65	59	0
20200323120003	2020-03-23 12:00:03	Algeria	201	17	65	119	0
20200324120004	2020-03-24 12:00:04	Algeria	230	17	65	148	0
20200325120004	2020-03-25 12:00:04	Algeria	264	19	24	221	0
20200326120004	2020-03-26 12:00:04	Algeria	302	21	65	216	0
20200327120003	2020-03-27 12:00:03	Algeria	367	25	29	313	0
20200328000003	2020-03-28 00:00:03	Algeria	367	25	29	313	0
20200330165358	2020-03-30 16:53:58	Algeria	511	31	31	449	0
