timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200303231332	2020-03-03 23:13:32	Argentina	1	0	0	1	0
20200304230748	2020-03-04 23:07:48	Argentina	1	0	0	1	0
20200305224916	2020-03-05 22:49:16	Argentina	1	0	0	1	0
20200306224331	2020-03-06 22:43:31	Argentina	8	0	0	8	0
20200307225610	2020-03-07 22:56:10	Argentina	9	1	0	8	0
20200308232251	2020-03-08 23:22:51	Argentina	12	1	0	11	0
20200309234747	2020-03-09 23:47:47	Argentina	17	1	0	16	0
20200310233243	2020-03-10 23:32:43	Argentina	19	1	0	18	1
20200311234701	2020-03-11 23:47:01	Argentina	19	1	0	18	1
20200312233926	2020-03-12 23:39:26	Argentina	30	1	0	29	1
20200313235940	2020-03-13 23:59:40	Argentina	31	2	0	29	1
20200314235906	2020-03-14 23:59:06	Argentina	45	2	0	43	1
20200315231920	2020-03-15 23:19:20	Argentina	46	2	0	44	1
20200316232604	2020-03-16 23:26:04	Argentina	56	2	3	51	1
20200317234753	2020-03-17 23:47:53	Argentina	79	2	3	74	1
20200318234401	2020-03-18 23:44:01	Argentina	79	2	3	74	1
20200319131523	2020-03-19 13:15:23	Argentina	97	2	3	92	1
20200320120009	2020-03-20 12:00:09	Argentina	128	3	3	122	0
20200321120003	2020-03-21 12:00:03	Argentina	158	3	3	152	0
20200322120004	2020-03-22 12:00:04	Argentina	158	4	3	151	0
20200323120003	2020-03-23 12:00:03	Argentina	266	4	27	235	0
20200324120004	2020-03-24 12:00:04	Argentina	301	4	51	246	0
20200325120004	2020-03-25 12:00:04	Argentina	387	6	52	329	0
20200326120004	2020-03-26 12:00:04	Argentina	502	8	52	442	0
20200327120003	2020-03-27 12:00:03	Argentina	589	12	72	505	0
20200328000003	2020-03-28 00:00:03	Argentina	589	12	72	505	0
20200330165358	2020-03-30 16:53:58	Argentina	820	20	91	709	0
20200331120003	2020-03-31 12:00:03	Argentina	820	23	228	569	0
20200401120003	2020-04-01 12:00:03	Argentina	1054	27	240	787	0
20200402120004	2020-04-02 12:00:04	Argentina	1133	32	248	853	0
