timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200301234648	2020-03-01 23:46:48	Armenia	1	0	0	1	0
20200302224751	2020-03-02 22:47:51	Armenia	1	0	0	1	0
20200303231332	2020-03-03 23:13:32	Armenia	1	0	0	1	0
20200304230748	2020-03-04 23:07:48	Armenia	1	0	0	1	0
20200305224916	2020-03-05 22:49:16	Armenia	1	0	0	1	0
20200306224331	2020-03-06 22:43:31	Armenia	1	0	0	1	0
20200307225610	2020-03-07 22:56:10	Armenia	1	0	0	1	0
20200308232251	2020-03-08 23:22:51	Armenia	1	0	0	1	0
20200309234747	2020-03-09 23:47:47	Armenia	1	0	0	1	0
20200310233243	2020-03-10 23:32:43	Armenia	1	0	0	1	0
20200311234701	2020-03-11 23:47:01	Armenia	1	0	0	1	0
20200312233926	2020-03-12 23:39:26	Armenia	6	0	0	6	0
20200313235940	2020-03-13 23:59:40	Armenia	8	0	0	8	0
20200314235906	2020-03-14 23:59:06	Armenia	18	0	0	18	0
20200315231920	2020-03-15 23:19:20	Armenia	26	0	0	26	0
20200316232604	2020-03-16 23:26:04	Armenia	52	0	1	51	2
20200317234753	2020-03-17 23:47:53	Armenia	78	0	1	77	2
20200318234401	2020-03-18 23:44:01	Armenia	78	0	1	77	2
20200319131523	2020-03-19 13:15:23	Armenia	110	0	1	109	2
20200320120009	2020-03-20 12:00:09	Armenia	122	0	1	121	2
20200321120003	2020-03-21 12:00:03	Armenia	136	0	1	135	2
20200322120004	2020-03-22 12:00:04	Armenia	160	0	1	159	2
20200323120003	2020-03-23 12:00:03	Armenia	194	0	2	192	6
20200324120004	2020-03-24 12:00:04	Armenia	235	0	2	233	6
20200325120004	2020-03-25 12:00:04	Armenia	249	0	14	235	6
20200326120004	2020-03-26 12:00:04	Armenia	265	0	16	249	6
20200327120003	2020-03-27 12:00:03	Armenia	290	1	18	271	6
20200328000003	2020-03-28 00:00:03	Armenia	290	1	18	271	6
20200330165358	2020-03-30 16:53:58	Armenia	424	3	30	391	6
