timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200129195657	2020-01-29 19:56:57	Australia	7	0			
20200130193726	2020-01-30 19:37:26	Australia	9	0			
20200131214927	2020-01-31 21:49:27	Australia	9	0			
20200201155449	2020-02-01 15:54:49	Australia	12	0			
20200202162745	2020-02-02 16:27:45	Australia	12	0			
20200203164423	2020-02-03 16:44:23	Australia	12	0	2		0
20200204230701	2020-02-04 23:07:01	Australia	13	0	3		0
20200205184441	2020-02-05 18:44:41	Australia	14	0	3		0
20200206231855	2020-02-06 23:18:55	Australia	15	0	3		0
20200207180939	2020-02-07 18:09:39	Australia	15	0	5		0
20200208224247	2020-02-08 22:42:47	Australia	15	0	5		0
20200210194000	2020-02-10 19:40:00	Australia	15	0	5		0
20200211210512	2020-02-11 21:05:12	Australia	15	0	5		0
20200212102815	2020-02-12 10:28:15	Australia	15	0	5		0
20200213195411	2020-02-13 19:54:11	Australia	15	0	8		0
20200214232753	2020-02-14 23:27:53	Australia	15	0	10		0
20200215063649	2020-02-15 06:36:49	Australia	15	0	10		0
20200216230426	2020-02-16 23:04:26	Australia	15	0	10		0
20200217113920	2020-02-17 11:39:20	Australia	15	0	10		0
20200218164329	2020-02-18 16:43:29	Australia	15	0	10		0
20200219180116	2020-02-19 18:01:16	Australia	15	0	10		0
20200220220812	2020-02-20 22:08:12	Australia	15	0	11		0
20200221233317	2020-02-21 23:33:17	Australia	19	0	11		0
20200222234612	2020-02-22 23:46:12	Australia	21	0	11		0
20200223235611	2020-02-23 23:56:11	Australia	22	0	11		0
20200224234216	2020-02-24 23:42:16	Australia	22	0	11		0
20200225235434	2020-02-25 23:54:34	Australia	22	0	15		0
20200226234848	2020-02-26 23:48:48	Australia	23	0	15		0
20200227234720	2020-02-27 23:47:20	Australia	23	0	15		0
20200228231028	2020-02-28 23:10:28	Australia	24	0	15		0
20200229235144	2020-02-29 23:51:44	Australia	25	0	15	10	0
20200301234648	2020-03-01 23:46:48	Australia	29	1	15	13	0
20200302224751	2020-03-02 22:47:51	Australia	33	1	15	17	1
20200303231332	2020-03-03 23:13:32	Australia	39	1	15	23	1
20200304230748	2020-03-04 23:07:48	Australia	50	2	21	27	1
20200305224916	2020-03-05 22:49:16	Australia	59	2	22	35	1
20200306224331	2020-03-06 22:43:31	Australia	63	2	22	39	1
20200307225610	2020-03-07 22:56:10	Australia	74	2	22	50	1
20200308232251	2020-03-08 23:22:51	Australia	80	3	22	55	1
20200309234747	2020-03-09 23:47:47	Australia	93	3	22	68	1
20200310233243	2020-03-10 23:32:43	Australia	116	3	22	91	1
20200311234701	2020-03-11 23:47:01	Australia	127	3	24	100	1
20200312233926	2020-03-12 23:39:26	Australia	156	3	26	127	1
20200313235940	2020-03-13 23:59:40	Australia	199	3	26	170	1
20200314235906	2020-03-14 23:59:06	Australia	248	3	27	218	1
20200315231920	2020-03-15 23:19:20	Australia	300	5	27	268	1
20200316232604	2020-03-16 23:26:04	Australia	401	5	27	369	1
20200317234753	2020-03-17 23:47:53	Australia	452	5	27	420	1
20200318234401	2020-03-18 23:44:01	Australia	455	5	27	423	1
20200319131523	2020-03-19 13:15:23	Australia	596	6	43	547	1
20200320120009	2020-03-20 12:00:09	Australia	756	7	46	703	1
20200321120003	2020-03-21 12:00:03	Australia	928	7	46	875	2
20200322120004	2020-03-22 12:00:04	Australia	1072	7	46	1019	2
