timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200224234216	2020-02-24 23:42:16	Bahrain	2	0	0		0
20200225235434	2020-02-25 23:54:34	Bahrain	23	0	0		0
20200226234848	2020-02-26 23:48:48	Bahrain	33	0	0		0
20200227234720	2020-02-27 23:47:20	Bahrain	33	0	0		0
20200228231028	2020-02-28 23:10:28	Bahrain	38	0	0		0
20200229235144	2020-02-29 23:51:44	Bahrain	41	0	0	41	0
20200301234648	2020-03-01 23:46:48	Bahrain	47	0	0	47	0
20200302224751	2020-03-02 22:47:51	Bahrain	49	0	0	49	0
20200303231332	2020-03-03 23:13:32	Bahrain	49	0	0	49	0
20200304230748	2020-03-04 23:07:48	Bahrain	52	0	1	51	0
20200305224916	2020-03-05 22:49:16	Bahrain	55	0	4	51	0
20200306224331	2020-03-06 22:43:31	Bahrain	60	0	4	56	0
20200307225610	2020-03-07 22:56:10	Bahrain	85	0	6	79	0
20200308232251	2020-03-08 23:22:51	Bahrain	85	0	14	71	0
20200309234747	2020-03-09 23:47:47	Bahrain	109	0	22	87	0
20200310233243	2020-03-10 23:32:43	Bahrain	110	0	30	80	1
20200311234701	2020-03-11 23:47:01	Bahrain	195	0	35	160	1
20200312233926	2020-03-12 23:39:26	Bahrain	197	0	35	162	1
20200313235940	2020-03-13 23:59:40	Bahrain	210	0	44	166	1
20200314235906	2020-03-14 23:59:06	Bahrain	212	0	60	152	2
20200315231920	2020-03-15 23:19:20	Bahrain	214	0	77	137	2
20200316232604	2020-03-16 23:26:04	Bahrain	228	1	81	146	1
20200317234753	2020-03-17 23:47:53	Bahrain	241	1	88	152	3
20200318234401	2020-03-18 23:44:01	Bahrain	241	1	88	152	3
20200319131523	2020-03-19 13:15:23	Bahrain	256	1	95	160	3
20200320120009	2020-03-20 12:00:09	Bahrain	279	1	110	168	4
20200321120003	2020-03-21 12:00:03	Bahrain	298	1	125	172	4
20200322120004	2020-03-22 12:00:04	Bahrain	310	1	125	184	4
20200323120003	2020-03-23 12:00:03	Bahrain	334	2	149	183	3
20200324120004	2020-03-24 12:00:04	Bahrain	377	2	164	211	3
20200325120004	2020-03-25 12:00:04	Bahrain	392	3	177	212	2
20200326120004	2020-03-26 12:00:04	Bahrain	419	4	177	238	2
20200327120003	2020-03-27 12:00:03	Bahrain	458	4	204	250	1
20200328000003	2020-03-28 00:00:03	Bahrain	458	4	204	250	1
20200330165358	2020-03-30 16:53:58	Bahrain	499	4	272	223	1
20200331120003	2020-03-31 12:00:03	Bahrain	515	4	295	216	2
20200401120003	2020-04-01 12:00:03	Bahrain	567	4	295	268	2
20200402120004	2020-04-02 12:00:04	Bahrain	569	4	337	228	3
