timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200204230701	2020-02-04 23:07:01	Belgium	1	0	0		0
20200205184441	2020-02-05 18:44:41	Belgium	1	0	0		0
20200206231855	2020-02-06 23:18:55	Belgium	1	0	0		0
20200207180939	2020-02-07 18:09:39	Belgium	1	0	0		0
20200208224247	2020-02-08 22:42:47	Belgium	1	0	0		0
20200210194000	2020-02-10 19:40:00	Belgium	1	0	0		0
20200211210512	2020-02-11 21:05:12	Belgium	1	0	0		0
20200212102815	2020-02-12 10:28:15	Belgium	1	0	0		0
20200213195411	2020-02-13 19:54:11	Belgium	1	0	0		0
20200214232753	2020-02-14 23:27:53	Belgium	1	0	0		0
20200215063649	2020-02-15 06:36:49	Belgium	1	0	0		0
20200216230426	2020-02-16 23:04:26	Belgium	1	0	1		0
20200217113920	2020-02-17 11:39:20	Belgium	1	0	1		0
20200218164329	2020-02-18 16:43:29	Belgium	1	0	1		0
20200219180116	2020-02-19 18:01:16	Belgium	1	0	1		0
20200220220812	2020-02-20 22:08:12	Belgium	1	0	1		0
20200221233317	2020-02-21 23:33:17	Belgium	1	0	1		0
20200222234612	2020-02-22 23:46:12	Belgium	1	0	1		0
20200223235611	2020-02-23 23:56:11	Belgium	1	0	1		0
20200224234216	2020-02-24 23:42:16	Belgium	1	0	1		0
20200225235434	2020-02-25 23:54:34	Belgium	1	0	1		0
20200226234848	2020-02-26 23:48:48	Belgium	1	0	1		0
20200227234720	2020-02-27 23:47:20	Belgium	1	0	1		0
20200228231028	2020-02-28 23:10:28	Belgium	1	0	1		0
20200229235144	2020-02-29 23:51:44	Belgium	1	0	1	0	0
20200301234648	2020-03-01 23:46:48	Belgium	2	0	1	1	0
20200302224751	2020-03-02 22:47:51	Belgium	8	0	1	7	0
20200303231332	2020-03-03 23:13:32	Belgium	13	0	1	12	0
20200304230748	2020-03-04 23:07:48	Belgium	23	0	1	22	1
20200305224916	2020-03-05 22:49:16	Belgium	50	0	1	49	1
20200306224331	2020-03-06 22:43:31	Belgium	109	0	1	108	1
20200307225610	2020-03-07 22:56:10	Belgium	169	0	1	168	1
20200308232251	2020-03-08 23:22:51	Belgium	200	0	1	199	1
20200309234747	2020-03-09 23:47:47	Belgium	239	0	1	238	2
20200310233243	2020-03-10 23:32:43	Belgium	267	0	1	266	2
20200311234701	2020-03-11 23:47:01	Belgium	314	3	1	310	2
20200312233926	2020-03-12 23:39:26	Belgium	399	3	1	395	2
20200313235940	2020-03-13 23:59:40	Belgium	559	3	1	555	2
20200314235906	2020-03-14 23:59:06	Belgium	689	4	1	684	24
20200315231920	2020-03-15 23:19:20	Belgium	886	4	1	881	33
20200316232604	2020-03-16 23:26:04	Belgium	1058	10	1	1047	33
20200317234753	2020-03-17 23:47:53	Belgium	1243	10	14	1219	33
20200318234401	2020-03-18 23:44:01	Belgium	1243	10	14	1219	33
20200319131523	2020-03-19 13:15:23	Belgium	1486	14	31	1441	33
20200320120009	2020-03-20 12:00:09	Belgium	1795	21	165	1609	130
20200321120003	2020-03-21 12:00:03	Belgium	2257	37	204	2016	164
20200322120004	2020-03-22 12:00:04	Belgium	2815	67	263	2485	288
20200323120003	2020-03-23 12:00:03	Belgium	3401	75	263	3063	288
20200324120004	2020-03-24 12:00:04	Belgium	3743	88	401	3254	322
20200325120004	2020-03-25 12:00:04	Belgium	4269	122	461	3686	381
20200326120004	2020-03-26 12:00:04	Belgium	4937	178	547	4212	474
20200327120003	2020-03-27 12:00:03	Belgium	6235	220	675	5340	605
20200328000003	2020-03-28 00:00:03	Belgium	6235	220	675	5340	605
20200330165358	2020-03-30 16:53:58	Belgium	10836	431	1359	9046	867
20200331120003	2020-03-31 12:00:03	Belgium	11899	513	1527	9859	927
20200401120003	2020-04-01 12:00:03	Belgium	12775	705	1696	10374	1021
20200402120004	2020-04-02 12:00:04	Belgium	13964	828	2132	11004	1088
