timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200319131523	2020-03-19 13:15:23	Bermuda	2	0	0	2	0
20200320120009	2020-03-20 12:00:09	Bermuda	2	0	0	2	0
20200321120003	2020-03-21 12:00:03	Bermuda	2	0	0	2	0
20200322120004	2020-03-22 12:00:04	Bermuda	2	0	0	2	0
20200323120003	2020-03-23 12:00:03	Bermuda	6	0	0	6	0
20200324120004	2020-03-24 12:00:04	Bermuda	6	0	0	6	0
20200325120004	2020-03-25 12:00:04	Bermuda	6	0	0	6	0
20200326120004	2020-03-26 12:00:04	Bermuda	7	0	0	7	0
20200327120003	2020-03-27 12:00:03	Bermuda	15	0	2	13	0
20200328000003	2020-03-28 00:00:03	Bermuda	15	0	2	13	0
20200330165358	2020-03-30 16:53:58	Bermuda	22	0	2	20	0
20200331120003	2020-03-31 12:00:03	Bermuda	27	0	2	25	0
20200401120003	2020-04-01 12:00:03	Bermuda	32	0	10	22	0
20200402120004	2020-04-02 12:00:04	Bermuda	32	0	10	22	0
20200403120003	2020-04-03 12:00:03	Bermuda	35	0	11	24	0
20200404120004	2020-04-04 12:00:04	Bermuda	35	0	14	21	0
20200405120003	2020-04-05 12:00:03	Bermuda	37	0	14	23	0
20200406120003	2020-04-06 12:00:03	Bermuda	37	0	14	23	0
