timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200305224916	2020-03-05 22:49:16	Bosnia and Herzegovina	2	0	0	2	0
20200306224331	2020-03-06 22:43:31	Bosnia and Herzegovina	3	0	0	3	0
20200307225610	2020-03-07 22:56:10	Bosnia and Herzegovina	3	0	0	3	0
20200308232251	2020-03-08 23:22:51	Bosnia and Herzegovina	3	0	0	3	0
20200309234747	2020-03-09 23:47:47	Bosnia and Herzegovina	5	0	0	5	0
20200310233243	2020-03-10 23:32:43	Bosnia and Herzegovina	5	0	0	5	0
20200311234701	2020-03-11 23:47:01	Bosnia and Herzegovina	7	0	0	7	0
20200312233926	2020-03-12 23:39:26	Bosnia and Herzegovina	11	0	0	11	0
20200313235940	2020-03-13 23:59:40	Bosnia and Herzegovina	18	0	0	18	0
20200314235906	2020-03-14 23:59:06	Bosnia and Herzegovina	21	0	0	21	0
20200315231920	2020-03-15 23:19:20	Bosnia and Herzegovina	24	0	0	24	0
20200316232604	2020-03-16 23:26:04	Bosnia and Herzegovina	25	0	2	23	0
20200317234753	2020-03-17 23:47:53	Bosnia and Herzegovina	34	0	2	32	0
20200318234401	2020-03-18 23:44:01	Bosnia and Herzegovina	34	0	2	32	0
20200319131523	2020-03-19 13:15:23	Bosnia and Herzegovina	39	0	2	37	0
