timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200226234848	2020-02-26 23:48:48	Brazil	1	0	0		0
20200227234720	2020-02-27 23:47:20	Brazil	1	0	0		0
20200228231028	2020-02-28 23:10:28	Brazil	1	0	0		0
20200229235144	2020-02-29 23:51:44	Brazil	2	0	0	2	0
20200301234648	2020-03-01 23:46:48	Brazil	2	0	0	2	0
20200302224751	2020-03-02 22:47:51	Brazil	2	0	0	2	0
20200303231332	2020-03-03 23:13:32	Brazil	2	0	0	2	0
20200304230748	2020-03-04 23:07:48	Brazil	4	0	0	4	0
20200305224916	2020-03-05 22:49:16	Brazil	8	0	0	8	0
20200306224331	2020-03-06 22:43:31	Brazil	13	0	0	13	0
20200307225610	2020-03-07 22:56:10	Brazil	18	0	0	18	0
20200308232251	2020-03-08 23:22:51	Brazil	25	0	0	25	1
20200309234747	2020-03-09 23:47:47	Brazil	25	0	0	25	1
20200310233243	2020-03-10 23:32:43	Brazil	34	0	0	34	1
20200311234701	2020-03-11 23:47:01	Brazil	52	0	0	52	2
20200312233926	2020-03-12 23:39:26	Brazil	77	0	0	77	2
20200313235940	2020-03-13 23:59:40	Brazil	151	0	0	151	2
20200314235906	2020-03-14 23:59:06	Brazil	151	0	1	150	2
20200315231920	2020-03-15 23:19:20	Brazil	200	0	1	199	2
20200316232604	2020-03-16 23:26:04	Brazil	234	0	2	232	2
20200317234753	2020-03-17 23:47:53	Brazil	346	1	2	343	18
20200318234401	2020-03-18 23:44:01	Brazil	346	1	2	343	18
20200319131523	2020-03-19 13:15:23	Brazil	529	4	2	523	18
