timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200309234747	2020-03-09 23:47:47	Brunei	1	0	0	1	0
20200310233243	2020-03-10 23:32:43	Brunei	6	0	0	6	0
20200311234701	2020-03-11 23:47:01	Brunei	11	0	0	11	0
20200312233926	2020-03-12 23:39:26	Brunei	25	0	0	25	0
20200313235940	2020-03-13 23:59:40	Brunei	37	0	0	37	0
20200314235906	2020-03-14 23:59:06	Brunei	40	0	0	40	0
20200315231920	2020-03-15 23:19:20	Brunei	50	0	0	50	0
20200316232604	2020-03-16 23:26:04	Brunei	54	0	0	54	1
20200317234753	2020-03-17 23:47:53	Brunei	56	0	0	56	1
20200318234401	2020-03-18 23:44:01	Brunei	56	0	0	56	1
20200319131523	2020-03-19 13:15:23	Brunei	68	0	0	68	2
20200320120009	2020-03-20 12:00:09	Brunei	73	0	0	73	2
20200321120003	2020-03-21 12:00:03	Brunei	78	0	1	77	2
20200322120004	2020-03-22 12:00:04	Brunei	83	0	1	82	2
