timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200308232251	2020-03-08 23:22:51	Bulgaria	4	0	0	4	0
20200309234747	2020-03-09 23:47:47	Bulgaria	4	0	0	4	0
20200310233243	2020-03-10 23:32:43	Bulgaria	6	0	0	6	0
20200311234701	2020-03-11 23:47:01	Bulgaria	7	1	0	6	0
20200312233926	2020-03-12 23:39:26	Bulgaria	23	1	0	22	0
20200313235940	2020-03-13 23:59:40	Bulgaria	23	1	0	22	0
20200314235906	2020-03-14 23:59:06	Bulgaria	41	2	0	39	0
20200315231920	2020-03-15 23:19:20	Bulgaria	51	2	0	49	0
20200316232604	2020-03-16 23:26:04	Bulgaria	62	2	0	60	0
20200317234753	2020-03-17 23:47:53	Bulgaria	81	2	0	79	0
20200318234401	2020-03-18 23:44:01	Bulgaria	81	2	0	79	0
20200319131523	2020-03-19 13:15:23	Bulgaria	92	2	0	90	0
20200320120009	2020-03-20 12:00:09	Bulgaria	107	3	0	104	0
20200321120003	2020-03-21 12:00:03	Bulgaria	127	3	1	123	0
20200322120004	2020-03-22 12:00:04	Bulgaria	163	3	3	157	3
