timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200129195657	2020-01-29 19:56:57	Canada	3	0			
20200130193726	2020-01-30 19:37:26	Canada	3	0			
20200131214927	2020-01-31 21:49:27	Canada	4	0			
20200201155449	2020-02-01 15:54:49	Canada	4	0			
20200202162745	2020-02-02 16:27:45	Canada	4	0			
20200203164423	2020-02-03 16:44:23	Canada	4	0	0		0
20200204230701	2020-02-04 23:07:01	Canada	5	0	0		0
20200205184441	2020-02-05 18:44:41	Canada	5	0	0		0
20200206231855	2020-02-06 23:18:55	Canada	7	0	0		0
20200207180939	2020-02-07 18:09:39	Canada	7	0	0		0
20200208224247	2020-02-08 22:42:47	Canada	7	0	0		0
20200210194000	2020-02-10 19:40:00	Canada	7	0	0		0
20200211210512	2020-02-11 21:05:12	Canada	7	0	1		0
20200212102815	2020-02-12 10:28:15	Canada	7	0	1		0
20200213195411	2020-02-13 19:54:11	Canada	7	0	1		0
20200214232753	2020-02-14 23:27:53	Canada	8	0	1		0
20200215063649	2020-02-15 06:36:49	Canada	8	0	1		0
20200216230426	2020-02-16 23:04:26	Canada	8	0	1		0
20200217113920	2020-02-17 11:39:20	Canada	8	0	1		0
20200218164329	2020-02-18 16:43:29	Canada	8	0	1		0
20200219180116	2020-02-19 18:01:16	Canada	8	0	1		0
20200220220812	2020-02-20 22:08:12	Canada	8	0	2		0
20200221233317	2020-02-21 23:33:17	Canada	9	0	3		0
20200222234612	2020-02-22 23:46:12	Canada	9	0	3		0
20200223235611	2020-02-23 23:56:11	Canada	10	0	3		0
20200224234216	2020-02-24 23:42:16	Canada	11	0	3		0
20200225235434	2020-02-25 23:54:34	Canada	11	0	3		0
20200226234848	2020-02-26 23:48:48	Canada	12	0	3		0
20200227234720	2020-02-27 23:47:20	Canada	13	0	3		0
20200228231028	2020-02-28 23:10:28	Canada	14	0	3		0
20200229235144	2020-02-29 23:51:44	Canada	16	0	4	12	0
20200301234648	2020-03-01 23:46:48	Canada	24	0	4	20	0
20200302224751	2020-03-02 22:47:51	Canada	27	0	7	20	0
20200303231332	2020-03-03 23:13:32	Canada	30	0	7	23	0
20200304230748	2020-03-04 23:07:48	Canada	33	0	7	26	0
20200305224916	2020-03-05 22:49:16	Canada	37	0	8	29	1
20200306224331	2020-03-06 22:43:31	Canada	51	0	8	43	1
20200307225610	2020-03-07 22:56:10	Canada	60	0	8	52	1
20200308232251	2020-03-08 23:22:51	Canada	64	0	8	56	1
20200309234747	2020-03-09 23:47:47	Canada	77	1	8	68	1
20200310233243	2020-03-10 23:32:43	Canada	94	1	8	85	1
20200311234701	2020-03-11 23:47:01	Canada	102	1	9	92	1
20200312233926	2020-03-12 23:39:26	Canada	142	1	11	130	1
20200313235940	2020-03-13 23:59:40	Canada	198	1	11	186	1
20200314235906	2020-03-14 23:59:06	Canada	247	1	11	235	1
20200315231920	2020-03-15 23:19:20	Canada	321	1	11	309	1
20200316232604	2020-03-16 23:26:04	Canada	422	4	11	407	1
20200317234753	2020-03-17 23:47:53	Canada	598	8	12	578	1
20200318234401	2020-03-18 23:44:01	Canada	598	8	12	578	1
20200319131523	2020-03-19 13:15:23	Canada	727	9	12	706	1
20200320120009	2020-03-20 12:00:09	Canada	873	12	11	850	1
20200321120003	2020-03-21 12:00:03	Canada	1087	12	14	1061	1
20200322120004	2020-03-22 12:00:04	Canada	1328	19	14	1295	1
20200323120003	2020-03-23 12:00:03	Canada	1470	20	14	1436	1
20200324120004	2020-03-24 12:00:04	Canada	2091	24	320	1747	1
20200325120004	2020-03-25 12:00:04	Canada	2792	26	112	2654	1
20200326120004	2020-03-26 12:00:04	Canada	3409	36	185	3188	1
20200327120003	2020-03-27 12:00:03	Canada	4043	39	228	3776	120
20200328000003	2020-03-28 00:00:03	Canada	4043	39	228	3776	120
20200330165358	2020-03-30 16:53:58	Canada	6320	65	573	5682	120
20200331120003	2020-03-31 12:00:03	Canada	7448	89	1093	6266	120
20200401120003	2020-04-01 12:00:03	Canada	8612	101	1242	7269	120
20200402120004	2020-04-02 12:00:04	Canada	9731	114	1736	7881	120
20200403120003	2020-04-03 12:00:03	Canada	11283	173	1979	9131	120
20200404120004	2020-04-04 12:00:04	Canada	12375	208	2186	9981	120
20200405120003	2020-04-05 12:00:03	Canada	13912	231	2595	11086	120
20200406120003	2020-04-06 12:00:03	Canada	15512	280	2942	12290	426
