timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200303231332	2020-03-03 23:13:32	Chile	1	0	0	1	0
20200304230748	2020-03-04 23:07:48	Chile	2	0	0	2	0
20200305224916	2020-03-05 22:49:16	Chile	4	0	0	4	0
20200306224331	2020-03-06 22:43:31	Chile	5	0	0	5	0
20200307225610	2020-03-07 22:56:10	Chile	5	0	0	5	0
20200308232251	2020-03-08 23:22:51	Chile	10	0	0	10	0
20200309234747	2020-03-09 23:47:47	Chile	13	0	0	13	0
20200310233243	2020-03-10 23:32:43	Chile	17	0	0	17	0
20200311234701	2020-03-11 23:47:01	Chile	23	0	0	23	0
20200312233926	2020-03-12 23:39:26	Chile	33	0	0	33	0
20200313235940	2020-03-13 23:59:40	Chile	43	0	0	43	0
20200314235906	2020-03-14 23:59:06	Chile	61	0	0	61	0
20200315231920	2020-03-15 23:19:20	Chile	75	0	0	75	0
20200316232604	2020-03-16 23:26:04	Chile	156	0	0	156	0
20200317234753	2020-03-17 23:47:53	Chile	201	0	0	201	3
20200318234401	2020-03-18 23:44:01	Chile	201	0	0	201	3
20200319131523	2020-03-19 13:15:23	Chile	238	0	0	238	3
