timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200129195657	2020-01-29 19:56:57	China	6070	133			
20200130193726	2020-01-30 19:37:26	China	8123	170			
20200131214927	2020-01-31 21:49:27	China	9798	213			
20200201155449	2020-02-01 15:54:49	China	11860	259			
20200202162745	2020-02-02 16:27:45	China	14497	304			
20200203164423	2020-02-03 16:44:23	China	17302	361	512		2296
20200204230701	2020-02-04 23:07:01	China	23658	490	861		2788
20200205184441	2020-02-05 18:44:41	China	24399	491	1022		3219
20200206231855	2020-02-06 23:18:55	China	30551	633	1593		3859
20200207180939	2020-02-07 18:09:39	China	31210	636	1747		4821
20200208224247	2020-02-08 22:42:47	China	36778	804	2377		6101
20200210194000	2020-02-10 19:40:00	China	40199	908	3623		6484
20200211210512	2020-02-11 21:05:12	China	42670	1016	4318		7333
20200212102815	2020-02-12 10:28:15	China	44653	1113	4777		8204
20200213195411	2020-02-13 19:54:11	China	59828	1367	6210		8024
20200214232753	2020-02-14 23:27:53	China	66291	1520	7977		10730
20200215063649	2020-02-15 06:36:49	China	66493	1523	8251		11053
20200216230426	2020-02-16 23:04:26	China	70542	1765	10728		11272
20200217113920	2020-02-17 11:39:20	China	70553	1771	11158		11272
20200218164329	2020-02-18 16:43:29	China	72440	1870	12994		11741
20200219180116	2020-02-19 18:01:16	China	74192	2006	14926		12017
20200220220812	2020-02-20 22:08:12	China	74582	2120	16707		12017
20200221233317	2020-02-21 23:33:17	China	75897	2236	18692		12017
20200222234612	2020-02-22 23:46:12	China	76923	2441	22691		11477
20200223235611	2020-02-23 23:56:11	China	76942	2444	23174		11477
20200224234216	2020-02-24 23:42:16	China	77345	2593	25066		11477
20200225235434	2020-02-25 23:54:34	China	77666	2664	27656		9126
20200226234848	2020-02-26 23:48:48	China	78073	2715	30060		8745
20200227234720	2020-02-27 23:47:20	China	78514	2747	32973		8346
20200228231028	2020-02-28 23:10:28	China	78832	2788	36476		7952
20200229235144	2020-02-29 23:51:44	China	79826	2870	41636	35320	7664
20200301234648	2020-03-01 23:46:48	China	79828	2870	42119	34839	7365
20200302224751	2020-03-02 22:47:51	China	80026	2912	44822	32292	7110
20200303231332	2020-03-03 23:13:32	China	80152	2945	47422	29785	6806
20200304230748	2020-03-04 23:07:48	China	80282	2981	50011	27290	6416
20200305224916	2020-03-05 22:49:16	China	80430	3013	52263	25154	5952
20200306224331	2020-03-06 22:43:31	China	80576	3042	53929	23605	5737
20200307225610	2020-03-07 22:56:10	China	80652	3070	55523	22059	5489
20200308232251	2020-03-08 23:22:51	China	80703	3098	57333	20272	5264
20200309234747	2020-03-09 23:47:47	China	80739	3120	58749	18870	5111
20200310233243	2020-03-10 23:32:43	China	80761	3136	60120	17505	4794
20200311234701	2020-03-11 23:47:01	China	80790	3158	61617	16015	4492
20200312233926	2020-03-12 23:39:26	China	80796	3169	62836	14791	4257
20200313235940	2020-03-13 23:59:40	China	80817	3177	64152	13488	4020
20200314235906	2020-03-14 23:59:06	China	80824	3189	65573	12062	3610
20200315231920	2020-03-15 23:19:20	China	80849	3199	66934	10716	3226
20200316232604	2020-03-16 23:26:04	China	80880	3213	67819	9848	3226
20200317234753	2020-03-17 23:47:53	China	80881	3226	68719	8936	3226
20200318234401	2020-03-18 23:44:01	China	80894	3237	69614	8043	2622
20200319131523	2020-03-19 13:15:23	China	80894	3237	69601	8056	2622
20200320120009	2020-03-20 12:00:09	China	80928	3245	70420	7263	2274
20200321120003	2020-03-21 12:00:03	China	80967	3248	71150	6569	2136
20200322120004	2020-03-22 12:00:04	China	81008	3255	71740	6013	1927
20200323120003	2020-03-23 12:00:03	China	81054	3261	72440	5353	1845
20200324120004	2020-03-24 12:00:04	China	81093	3270	72703	5120	1749
