timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200306224331	2020-03-06 22:43:31	Colombia	1	0	0	1	0
20200307225610	2020-03-07 22:56:10	Colombia	1	0	0	1	0
20200308232251	2020-03-08 23:22:51	Colombia	1	0	0	1	0
20200309234747	2020-03-09 23:47:47	Colombia	3	0	0	3	0
20200310233243	2020-03-10 23:32:43	Colombia	3	0	0	3	0
20200311234701	2020-03-11 23:47:01	Colombia	9	0	0	9	0
20200312233926	2020-03-12 23:39:26	Colombia	9	0	0	9	0
20200313235940	2020-03-13 23:59:40	Colombia	13	0	0	13	0
20200314235906	2020-03-14 23:59:06	Colombia	22	0	0	22	0
20200315231920	2020-03-15 23:19:20	Colombia	34	0	0	34	0
20200316232604	2020-03-16 23:26:04	Colombia	54	0	1	53	0
20200317234753	2020-03-17 23:47:53	Colombia	65	0	1	64	0
20200318234401	2020-03-18 23:44:01	Colombia	65	0	1	64	0
20200319131523	2020-03-19 13:15:23	Colombia	93	0	1	92	0
20200320120009	2020-03-20 12:00:09	Colombia	108	0	1	107	0
20200321120003	2020-03-21 12:00:03	Colombia	145	0	1	144	0
20200322120004	2020-03-22 12:00:04	Colombia	196	0	1	195	0
20200323120003	2020-03-23 12:00:03	Colombia	231	2	3	226	0
20200324120004	2020-03-24 12:00:04	Colombia	277	3	3	271	0
