timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200305224916	2020-03-05 22:49:16	Costa Rica	1	0	0	1	0
20200306224331	2020-03-06 22:43:31	Costa Rica	1	0	0	1	0
20200307225610	2020-03-07 22:56:10	Costa Rica	1	0	0	1	0
20200308232251	2020-03-08 23:22:51	Costa Rica	5	0	0	5	1
20200309234747	2020-03-09 23:47:47	Costa Rica	9	0	0	9	1
20200310233243	2020-03-10 23:32:43	Costa Rica	13	0	0	13	1
20200311234701	2020-03-11 23:47:01	Costa Rica	13	0	0	13	1
20200312233926	2020-03-12 23:39:26	Costa Rica	23	0	0	23	1
20200313235940	2020-03-13 23:59:40	Costa Rica	23	0	0	23	1
20200314235906	2020-03-14 23:59:06	Costa Rica	27	0	0	27	1
20200315231920	2020-03-15 23:19:20	Costa Rica	35	0	0	35	3
20200316232604	2020-03-16 23:26:04	Costa Rica	41	0	0	41	3
20200317234753	2020-03-17 23:47:53	Costa Rica	50	0	0	50	3
20200318234401	2020-03-18 23:44:01	Costa Rica	50	0	0	50	3
20200319131523	2020-03-19 13:15:23	Costa Rica	69	1	0	68	2
20200320120009	2020-03-20 12:00:09	Costa Rica	87	1	0	86	2
20200321120003	2020-03-21 12:00:03	Costa Rica	113	2	2	109	2
20200322120004	2020-03-22 12:00:04	Costa Rica	117	2	2	113	2
20200323120003	2020-03-23 12:00:03	Costa Rica	134	2	2	130	2
20200324120004	2020-03-24 12:00:04	Costa Rica	158	2	2	154	2
20200325120004	2020-03-25 12:00:04	Costa Rica	177	2	2	173	4
20200326120004	2020-03-26 12:00:04	Costa Rica	201	2	2	197	4
20200327120003	2020-03-27 12:00:03	Costa Rica	231	2	2	227	5
20200328000003	2020-03-28 00:00:03	Costa Rica	231	2	2	227	5
20200330165358	2020-03-30 16:53:58	Costa Rica	314	2	3	309	6
20200331120003	2020-03-31 12:00:03	Costa Rica	330	2	4	324	7
20200401120003	2020-04-01 12:00:03	Costa Rica	347	2	4	341	8
20200402120004	2020-04-02 12:00:04	Costa Rica	375	2	4	369	9
20200403120003	2020-04-03 12:00:03	Costa Rica	396	2	6	388	11
20200404120004	2020-04-04 12:00:04	Costa Rica	416	2	11	403	13
20200405120003	2020-04-05 12:00:03	Costa Rica	435	2	13	420	13
20200406120003	2020-04-06 12:00:03	Costa Rica	454	2	16	436	14
