timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200225235434	2020-02-25 23:54:34	Croatia	1	0	0		0
20200226234848	2020-02-26 23:48:48	Croatia	3	0	0		0
20200227234720	2020-02-27 23:47:20	Croatia	3	0	0		0
20200228231028	2020-02-28 23:10:28	Croatia	5	0	0		0
20200229235144	2020-02-29 23:51:44	Croatia	6	0	0	6	0
20200301234648	2020-03-01 23:46:48	Croatia	7	0	0	7	0
20200302224751	2020-03-02 22:47:51	Croatia	8	0	0	8	0
20200303231332	2020-03-03 23:13:32	Croatia	9	0	0	9	0
20200304230748	2020-03-04 23:07:48	Croatia	10	0	0	10	0
20200305224916	2020-03-05 22:49:16	Croatia	10	0	0	10	0
20200306224331	2020-03-06 22:43:31	Croatia	11	0	0	11	0
20200307225610	2020-03-07 22:56:10	Croatia	12	0	0	12	0
20200308232251	2020-03-08 23:22:51	Croatia	12	0	0	12	0
20200309234747	2020-03-09 23:47:47	Croatia	13	0	0	13	0
20200310233243	2020-03-10 23:32:43	Croatia	15	0	0	15	0
20200311234701	2020-03-11 23:47:01	Croatia	19	0	0	19	0
20200312233926	2020-03-12 23:39:26	Croatia	27	0	1	26	0
20200313235940	2020-03-13 23:59:40	Croatia	32	0	1	31	0
20200314235906	2020-03-14 23:59:06	Croatia	39	0	2	37	0
20200315231920	2020-03-15 23:19:20	Croatia	49	0	2	47	0
20200316232604	2020-03-16 23:26:04	Croatia	57	0	3	54	0
20200317234753	2020-03-17 23:47:53	Croatia	69	0	5	64	0
20200318234401	2020-03-18 23:44:01	Croatia	69	0	5	64	0
20200319131523	2020-03-19 13:15:23	Croatia	89	0	5	84	0
20200320120009	2020-03-20 12:00:09	Croatia	110	1	5	104	0
20200321120003	2020-03-21 12:00:03	Croatia	130	1	5	124	0
20200322120004	2020-03-22 12:00:04	Croatia	206	1	5	200	0
