timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200312233926	2020-03-12 23:39:26	Cuba	3	0	0	3	0
20200313235940	2020-03-13 23:59:40	Cuba	4	0	0	4	0
20200314235906	2020-03-14 23:59:06	Cuba	4	0	0	4	0
20200315231920	2020-03-15 23:19:20	Cuba	4	0	0	4	0
20200316232604	2020-03-16 23:26:04	Cuba	4	0	0	4	0
20200317234753	2020-03-17 23:47:53	Cuba	5	0	0	5	0
20200318234401	2020-03-18 23:44:01	Cuba	7	0	0	7	0
20200319131523	2020-03-19 13:15:23	Cuba	10	1	0	9	0
20200320120009	2020-03-20 12:00:09	Cuba	11	1	0	10	0
20200321120003	2020-03-21 12:00:03	Cuba	21	1	0	20	0
20200322120004	2020-03-22 12:00:04	Cuba	21	1	0	20	0
20200323120003	2020-03-23 12:00:03	Cuba	35	1	0	34	0
20200324120004	2020-03-24 12:00:04	Cuba	40	1	0	39	3
20200325120004	2020-03-25 12:00:04	Cuba	48	1	1	46	2
20200326120004	2020-03-26 12:00:04	Cuba	57	1	1	55	2
20200327120003	2020-03-27 12:00:03	Cuba	67	2	1	64	2
20200328000003	2020-03-28 00:00:03	Cuba	67	2	1	64	2
20200330165358	2020-03-30 16:53:58	Cuba	139	3	4	132	2
20200331120003	2020-03-31 12:00:03	Cuba	170	4	4	162	2
20200401120003	2020-04-01 12:00:03	Cuba	186	6	8	172	3
20200402120004	2020-04-02 12:00:04	Cuba	212	6	12	194	3
20200403120003	2020-04-03 12:00:03	Cuba	233	6	13	214	7
20200404120004	2020-04-04 12:00:04	Cuba	269	6	15	248	8
20200405120003	2020-04-05 12:00:03	Cuba	288	6	15	267	11
20200406120003	2020-04-06 12:00:03	Cuba	320	8	15	297	11
