timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200227234720	2020-02-27 23:47:20	Denmark	1	0	0		0
20200228231028	2020-02-28 23:10:28	Denmark	2	0	0		0
20200229235144	2020-02-29 23:51:44	Denmark	3	0	0	3	0
20200301234648	2020-03-01 23:46:48	Denmark	4	0	0	4	0
20200302224751	2020-03-02 22:47:51	Denmark	4	0	0	4	0
20200303231332	2020-03-03 23:13:32	Denmark	10	0	0	10	0
20200304230748	2020-03-04 23:07:48	Denmark	15	0	0	15	0
20200305224916	2020-03-05 22:49:16	Denmark	20	0	1	19	0
20200306224331	2020-03-06 22:43:31	Denmark	23	0	1	22	0
20200307225610	2020-03-07 22:56:10	Denmark	27	0	1	26	0
20200308232251	2020-03-08 23:22:51	Denmark	35	0	1	34	0
20200309234747	2020-03-09 23:47:47	Denmark	90	0	1	89	0
20200310233243	2020-03-10 23:32:43	Denmark	262	0	1	261	0
20200311234701	2020-03-11 23:47:01	Denmark	514	0	1	513	0
20200312233926	2020-03-12 23:39:26	Denmark	674	0	1	673	2
20200313235940	2020-03-13 23:59:40	Denmark	801	0	1	800	2
20200314235906	2020-03-14 23:59:06	Denmark	827	1	1	825	2
20200315231920	2020-03-15 23:19:20	Denmark	864	2	1	861	2
20200316232604	2020-03-16 23:26:04	Denmark	914	4	1	909	10
20200317234753	2020-03-17 23:47:53	Denmark	977	4	1	972	18
20200318234401	2020-03-18 23:44:01	Denmark	977	4	1	972	18
20200319131523	2020-03-19 13:15:23	Denmark	1057	4	1	1052	24
20200320120009	2020-03-20 12:00:09	Denmark	1151	6	1	1144	30
20200321120003	2020-03-21 12:00:03	Denmark	1255	9	1	1245	37
20200322120004	2020-03-22 12:00:04	Denmark	1326	13	1	1312	42
20200323120003	2020-03-23 12:00:03	Denmark	1395	13	1	1381	42
20200324120004	2020-03-24 12:00:04	Denmark	1460	24	1	1435	55
20200325120004	2020-03-25 12:00:04	Denmark	1591	32	1	1558	69
20200326120004	2020-03-26 12:00:04	Denmark	1724	34	1	1689	87
20200327120003	2020-03-27 12:00:03	Denmark	1877	41	1	1835	94
20200328000003	2020-03-28 00:00:03	Denmark	1877	41	1	1835	94
20200330165358	2020-03-30 16:53:58	Denmark	2395	72	1	2322	113
20200331120003	2020-03-31 12:00:03	Denmark	2577	77	1	2499	137
20200401120003	2020-04-01 12:00:03	Denmark	2860	90	1	2769	145
20200402120004	2020-04-02 12:00:04	Denmark	3107	104	894	2109	145
20200403120003	2020-04-03 12:00:03	Denmark	3386	123	1089	2174	153
20200404120004	2020-04-04 12:00:04	Denmark	3757	139	1193	2425	153
20200405120003	2020-04-05 12:00:03	Denmark	4077	161	1283	2633	142
20200406120003	2020-04-06 12:00:03	Denmark	4369	179	1327	2863	142
