timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200218164329	2020-02-18 16:43:29	Diamond Princess	542	0	17		20
20200219180116	2020-02-19 18:01:16	Diamond Princess	621	0	17		20
20200220220812	2020-02-20 22:08:12	Diamond Princess	634	2	17		27
20200221233317	2020-02-21 23:33:17	Diamond Princess	634	2	17		27
20200222234612	2020-02-22 23:46:12	Diamond Princess	634	2	17		27
20200223235611	2020-02-23 23:56:11	Diamond Princess	691	3	17		36
20200224234216	2020-02-24 23:42:16	Diamond Princess	691	3	2		36
20200225235434	2020-02-25 23:54:34	Diamond Princess	691	4	10		35
20200226234848	2020-02-26 23:48:48	Diamond Princess	705	4	10		36
20200227234720	2020-02-27 23:47:20	Diamond Princess	705	4	10		36
20200228231028	2020-02-28 23:10:28	Diamond Princess	705	6	10		34
20200229235144	2020-02-29 23:51:44	Diamond Princess	705	6	10	689	36
20200301234648	2020-03-01 23:46:48	Diamond Princess	705	7	10	688	36
20200302224751	2020-03-02 22:47:51	Diamond Princess	705	7	100	598	36
20200303231332	2020-03-03 23:13:32	Diamond Princess	706	6	100	600	36
20200304230748	2020-03-04 23:07:48	Diamond Princess	706	6	212	488	35
20200305224916	2020-03-05 22:49:16	Diamond Princess	696	6	212	478	35
20200306224331	2020-03-06 22:43:31	Diamond Princess	696	6	212	478	34
20200307225610	2020-03-07 22:56:10	Diamond Princess	696	6	245	445	32
20200308232251	2020-03-08 23:22:51	Diamond Princess	696	7	245	444	32
20200309234747	2020-03-09 23:47:47	Diamond Princess	696	7	245	444	32
20200310233243	2020-03-10 23:32:43	Diamond Princess	696	7	245	444	32
20200311234701	2020-03-11 23:47:01	Diamond Princess	696	7	325	364	32
20200312233926	2020-03-12 23:39:26	Diamond Princess	696	7	325	364	32
20200313235940	2020-03-13 23:59:40	Diamond Princess	696	7	325	364	32
20200314235906	2020-03-14 23:59:06	Diamond Princess	696	7	456	233	15
20200315231920	2020-03-15 23:19:20	Diamond Princess	696	7	456	233	15
20200316232604	2020-03-16 23:26:04	Diamond Princess	696	7	456	233	15
20200317234753	2020-03-17 23:47:53	Diamond Princess	696	7	456	233	15
20200318234401	2020-03-18 23:44:01	Diamond Princess	712	7	456	249	14
20200319131523	2020-03-19 13:15:23	Diamond Princess	712	7	458	247	14
20200320120009	2020-03-20 12:00:09	Diamond Princess	712	7	527	178	14
20200321120003	2020-03-21 12:00:03	Diamond Princess	712	8	567	137	15
20200322120004	2020-03-22 12:00:04	Diamond Princess	712	8	567	137	15
20200323120003	2020-03-23 12:00:03	Diamond Princess	712	8	567	137	15
20200324120004	2020-03-24 12:00:04	Diamond Princess	712	8	567	137	15
