timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200229235144	2020-02-29 23:51:44	Ecuador	1	0	0	1	1
20200301234648	2020-03-01 23:46:48	Ecuador	6	0	0	6	1
20200302224751	2020-03-02 22:47:51	Ecuador	6	0	0	6	1
20200303231332	2020-03-03 23:13:32	Ecuador	7	0	0	7	1
20200304230748	2020-03-04 23:07:48	Ecuador	10	0	0	10	1
20200305224916	2020-03-05 22:49:16	Ecuador	13	0	0	13	1
20200306224331	2020-03-06 22:43:31	Ecuador	13	0	0	13	1
20200307225610	2020-03-07 22:56:10	Ecuador	14	0	0	14	1
20200308232251	2020-03-08 23:22:51	Ecuador	14	0	0	14	1
20200309234747	2020-03-09 23:47:47	Ecuador	15	0	0	15	1
20200310233243	2020-03-10 23:32:43	Ecuador	15	0	0	15	1
20200311234701	2020-03-11 23:47:01	Ecuador	17	0	0	17	1
20200312233926	2020-03-12 23:39:26	Ecuador	17	0	0	17	1
20200313235940	2020-03-13 23:59:40	Ecuador	19	0	0	19	1
20200314235906	2020-03-14 23:59:06	Ecuador	28	1	0	27	1
20200315231920	2020-03-15 23:19:20	Ecuador	37	2	0	35	1
20200316232604	2020-03-16 23:26:04	Ecuador	58	2	0	56	2
20200317234753	2020-03-17 23:47:53	Ecuador	111	2	0	109	2
20200318234401	2020-03-18 23:44:01	Ecuador	111	2	0	109	2
20200319131523	2020-03-19 13:15:23	Ecuador	168	3	1	164	2
