timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200214232753	2020-02-14 23:27:53	Egypt	1	0	0		0
20200215063649	2020-02-15 06:36:49	Egypt	1	0	0		0
20200216230426	2020-02-16 23:04:26	Egypt	1	0	0		0
20200217113920	2020-02-17 11:39:20	Egypt	1	0	0		0
20200218164329	2020-02-18 16:43:29	Egypt	1	0	0		0
20200219180116	2020-02-19 18:01:16	Egypt	1	0	0		0
20200220220812	2020-02-20 22:08:12	Egypt	1	0	1		0
20200221233317	2020-02-21 23:33:17	Egypt	1	0	1		0
20200222234612	2020-02-22 23:46:12	Egypt	1	0	1		0
20200223235611	2020-02-23 23:56:11	Egypt	1	0	1		0
20200224234216	2020-02-24 23:42:16	Egypt	1	0	1		0
20200225235434	2020-02-25 23:54:34	Egypt	1	0	1		0
20200226234848	2020-02-26 23:48:48	Egypt	1	0	1		0
20200227234720	2020-02-27 23:47:20	Egypt	1	0	1		0
20200228231028	2020-02-28 23:10:28	Egypt	1	0	1		0
20200229235144	2020-02-29 23:51:44	Egypt	1	0	1	0	0
20200301234648	2020-03-01 23:46:48	Egypt	2	0	1	1	0
20200302224751	2020-03-02 22:47:51	Egypt	2	0	1	1	0
20200303231332	2020-03-03 23:13:32	Egypt	2	0	1	1	0
20200304230748	2020-03-04 23:07:48	Egypt	2	0	1	1	0
20200305224916	2020-03-05 22:49:16	Egypt	3	0	1	2	0
20200306224331	2020-03-06 22:43:31	Egypt	15	0	1	14	0
20200307225610	2020-03-07 22:56:10	Egypt	48	0	1	47	0
20200308232251	2020-03-08 23:22:51	Egypt	49	1	1	47	0
20200309234747	2020-03-09 23:47:47	Egypt	59	1	1	57	0
20200310233243	2020-03-10 23:32:43	Egypt	59	1	1	57	0
20200311234701	2020-03-11 23:47:01	Egypt	60	1	27	32	0
20200312233926	2020-03-12 23:39:26	Egypt	80	2	27	51	0
20200313235940	2020-03-13 23:59:40	Egypt	80	2	27	51	0
20200314235906	2020-03-14 23:59:06	Egypt	109	2	27	80	0
20200315231920	2020-03-15 23:19:20	Egypt	126	2	27	97	0
20200316232604	2020-03-16 23:26:04	Egypt	166	4	32	130	0
20200317234753	2020-03-17 23:47:53	Egypt	196	6	26	164	0
20200318234401	2020-03-18 23:44:01	Egypt	196	6	26	164	0
20200319131523	2020-03-19 13:15:23	Egypt	210	6	28	176	0
20200320120009	2020-03-20 12:00:09	Egypt	256	7	42	207	0
20200321120003	2020-03-21 12:00:03	Egypt	285	8	42	235	0
20200322120004	2020-03-22 12:00:04	Egypt	294	10	42	242	0
20200323120003	2020-03-23 12:00:03	Egypt	327	14	56	257	0
20200324120004	2020-03-24 12:00:04	Egypt	366	19	68	279	0
