timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200227234720	2020-02-27 23:47:20	Estonia	1	0	0		0
20200228231028	2020-02-28 23:10:28	Estonia	1	0	0		0
20200229235144	2020-02-29 23:51:44	Estonia	1	0	0	1	0
20200301234648	2020-03-01 23:46:48	Estonia	1	0	0	1	0
20200302224751	2020-03-02 22:47:51	Estonia	1	0	0	1	0
20200303231332	2020-03-03 23:13:32	Estonia	2	0	0	2	0
20200304230748	2020-03-04 23:07:48	Estonia	2	0	0	2	0
20200305224916	2020-03-05 22:49:16	Estonia	5	0	0	5	0
20200306224331	2020-03-06 22:43:31	Estonia	10	0	0	10	0
20200307225610	2020-03-07 22:56:10	Estonia	10	0	0	10	0
20200308232251	2020-03-08 23:22:51	Estonia	10	0	0	10	0
20200309234747	2020-03-09 23:47:47	Estonia	10	0	0	10	0
20200310233243	2020-03-10 23:32:43	Estonia	13	0	0	13	0
20200311234701	2020-03-11 23:47:01	Estonia	16	0	0	16	0
20200312233926	2020-03-12 23:39:26	Estonia	27	0	0	27	0
20200313235940	2020-03-13 23:59:40	Estonia	79	0	0	79	0
20200314235906	2020-03-14 23:59:06	Estonia	115	0	0	115	0
20200315231920	2020-03-15 23:19:20	Estonia	171	0	1	170	0
20200316232604	2020-03-16 23:26:04	Estonia	205	0	1	204	0
20200317234753	2020-03-17 23:47:53	Estonia	225	0	1	224	0
20200318234401	2020-03-18 23:44:01	Estonia	225	0	1	224	0
20200319131523	2020-03-19 13:15:23	Estonia	258	0	1	257	1
20200320120009	2020-03-20 12:00:09	Estonia	267	0	1	266	1
20200321120003	2020-03-21 12:00:03	Estonia	283	0	1	282	1
20200322120004	2020-03-22 12:00:04	Estonia	306	0	2	304	0
20200323120003	2020-03-23 12:00:03	Estonia	326	0	4	322	2
20200324120004	2020-03-24 12:00:04	Estonia	352	0	4	348	4
