timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200313235940	2020-03-13 23:59:40	Ethiopia	1	0	0	1	0
20200314235906	2020-03-14 23:59:06	Ethiopia	1	0	0	1	0
20200315231920	2020-03-15 23:19:20	Ethiopia	4	0	0	4	0
20200316232604	2020-03-16 23:26:04	Ethiopia	5	0	0	5	0
20200317234753	2020-03-17 23:47:53	Ethiopia	6	0	0	6	0
20200318234401	2020-03-18 23:44:01	Ethiopia	6	0	0	6	0
20200319131523	2020-03-19 13:15:23	Ethiopia	6	0	0	6	0
20200320120009	2020-03-20 12:00:09	Ethiopia	7	0	0	7	0
20200321120003	2020-03-21 12:00:03	Ethiopia	9	0	0	9	0
20200322120004	2020-03-22 12:00:04	Ethiopia	9	0	0	9	0
20200323120003	2020-03-23 12:00:03	Ethiopia	11	0	0	11	0
20200324120004	2020-03-24 12:00:04	Ethiopia	11	0	0	11	0
20200325120004	2020-03-25 12:00:04	Ethiopia	12	0	0	12	0
20200326120004	2020-03-26 12:00:04	Ethiopia	12	0	0	12	0
20200327120003	2020-03-27 12:00:03	Ethiopia	12	0	0	12	0
20200328000003	2020-03-28 00:00:03	Ethiopia	12	0	0	12	0
20200330165358	2020-03-30 16:53:58	Ethiopia	21	0	1	20	0
20200331120003	2020-03-31 12:00:03	Ethiopia	23	0	4	19	1
20200401120003	2020-04-01 12:00:03	Ethiopia	26	0	2	24	2
20200402120004	2020-04-02 12:00:04	Ethiopia	29	0	2	27	2
20200403120003	2020-04-03 12:00:03	Ethiopia	29	0	3	26	2
20200404120004	2020-04-04 12:00:04	Ethiopia	35	0	3	32	2
20200405120003	2020-04-05 12:00:03	Ethiopia	38	0	4	34	1
20200406120003	2020-04-06 12:00:03	Ethiopia	43	2	4	37	1
