timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200129195657	2020-01-29 19:56:57	Finland	1	0			
20200130193726	2020-01-30 19:37:26	Finland	1	0			
20200131214927	2020-01-31 21:49:27	Finland	1	0			
20200201155449	2020-02-01 15:54:49	Finland	1	0			
20200202162745	2020-02-02 16:27:45	Finland	1	0			
20200203164423	2020-02-03 16:44:23	Finland	1	0	0		0
20200204230701	2020-02-04 23:07:01	Finland	1	0	0		0
20200205184441	2020-02-05 18:44:41	Finland	1	0	0		0
20200206231855	2020-02-06 23:18:55	Finland	1	0	1		0
20200207180939	2020-02-07 18:09:39	Finland	1	0	1		0
20200208224247	2020-02-08 22:42:47	Finland	1	0	1		0
20200210194000	2020-02-10 19:40:00	Finland	1	0	1		0
20200211210512	2020-02-11 21:05:12	Finland	1	0	1		0
20200212102815	2020-02-12 10:28:15	Finland	1	0	1		0
20200213195411	2020-02-13 19:54:11	Finland	1	0	1		0
20200214232753	2020-02-14 23:27:53	Finland	1	0	1		0
20200215063649	2020-02-15 06:36:49	Finland	1	0	1		0
20200216230426	2020-02-16 23:04:26	Finland	1	0	1		0
20200217113920	2020-02-17 11:39:20	Finland	1	0	1		0
20200218164329	2020-02-18 16:43:29	Finland	1	0	1		0
20200219180116	2020-02-19 18:01:16	Finland	1	0	1		0
20200220220812	2020-02-20 22:08:12	Finland	1	0	1		0
20200221233317	2020-02-21 23:33:17	Finland	1	0	1		0
20200222234612	2020-02-22 23:46:12	Finland	1	0	1		0
20200223235611	2020-02-23 23:56:11	Finland	1	0	1		0
20200224234216	2020-02-24 23:42:16	Finland	1	0	1		0
20200225235434	2020-02-25 23:54:34	Finland	1	0	1		0
20200226234848	2020-02-26 23:48:48	Finland	2	0	1		0
20200227234720	2020-02-27 23:47:20	Finland	2	0	1		0
20200228231028	2020-02-28 23:10:28	Finland	3	0	1		0
20200229235144	2020-02-29 23:51:44	Finland	3	0	1	2	0
20200301234648	2020-03-01 23:46:48	Finland	6	0	1	5	0
20200302224751	2020-03-02 22:47:51	Finland	6	0	1	5	0
20200303231332	2020-03-03 23:13:32	Finland	7	0	1	6	0
20200304230748	2020-03-04 23:07:48	Finland	7	0	1	6	0
20200305224916	2020-03-05 22:49:16	Finland	12	0	1	11	0
20200306224331	2020-03-06 22:43:31	Finland	15	0	1	14	0
20200307225610	2020-03-07 22:56:10	Finland	19	0	1	18	0
20200308232251	2020-03-08 23:22:51	Finland	25	0	1	24	0
20200309234747	2020-03-09 23:47:47	Finland	33	0	1	32	0
20200310233243	2020-03-10 23:32:43	Finland	40	0	1	39	0
20200311234701	2020-03-11 23:47:01	Finland	59	0	1	58	0
20200312233926	2020-03-12 23:39:26	Finland	109	0	1	108	0
20200313235940	2020-03-13 23:59:40	Finland	155	0	1	154	0
20200314235906	2020-03-14 23:59:06	Finland	225	0	10	215	0
20200315231920	2020-03-15 23:19:20	Finland	244	0	10	234	0
20200316232604	2020-03-16 23:26:04	Finland	278	0	10	268	1
20200317234753	2020-03-17 23:47:53	Finland	322	0	10	312	2
20200318234401	2020-03-18 23:44:01	Finland	322	0	10	312	2
20200319131523	2020-03-19 13:15:23	Finland	359	0	10	349	2
20200320120009	2020-03-20 12:00:09	Finland	400	0	10	390	2
20200321120003	2020-03-21 12:00:03	Finland	450	0	10	440	2
20200322120004	2020-03-22 12:00:04	Finland	523	1	10	512	2
