timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200129195657	2020-01-29 19:56:57	France	4	0			
20200130193726	2020-01-30 19:37:26	France	5	0			
20200131214927	2020-01-31 21:49:27	France	6	0			
20200201155449	2020-02-01 15:54:49	France	6	0			
20200202162745	2020-02-02 16:27:45	France	6	0			
20200203164423	2020-02-03 16:44:23	France	6	0	0		2
20200204230701	2020-02-04 23:07:01	France	6	0	0		1
20200205184441	2020-02-05 18:44:41	France	6	0	0		1
20200206231855	2020-02-06 23:18:55	France	6	0	0		1
20200207180939	2020-02-07 18:09:39	France	6	0	0		1
20200208224247	2020-02-08 22:42:47	France	11	0	0		1
20200210194000	2020-02-10 19:40:00	France	11	0	0		1
20200211210512	2020-02-11 21:05:12	France	11	0	0		1
20200212102815	2020-02-12 10:28:15	France	11	0	0		1
20200213195411	2020-02-13 19:54:11	France	11	0	2		1
20200214232753	2020-02-14 23:27:53	France	11	0	3		1
20200215063649	2020-02-15 06:36:49	France	11	0	3		1
20200216230426	2020-02-16 23:04:26	France	12	1	4		0
20200217113920	2020-02-17 11:39:20	France	12	1	4		0
20200218164329	2020-02-18 16:43:29	France	12	1	5		0
20200219180116	2020-02-19 18:01:16	France	12	1	7		0
20200220220812	2020-02-20 22:08:12	France	12	1	7		0
20200221233317	2020-02-21 23:33:17	France	12	1	7		0
20200222234612	2020-02-22 23:46:12	France	12	1	10		0
20200223235611	2020-02-23 23:56:11	France	12	1	10		0
20200224234216	2020-02-24 23:42:16	France	12	1	11		0
20200225235434	2020-02-25 23:54:34	France	14	1	11		0
20200226234848	2020-02-26 23:48:48	France	18	2	11		1
20200227234720	2020-02-27 23:47:20	France	38	2	11		1
20200228231028	2020-02-28 23:10:28	France	57	2	11		1
20200229235144	2020-02-29 23:51:44	France	100	2	12	86	8
20200301234648	2020-03-01 23:46:48	France	130	2	12	116	9
20200302224751	2020-03-02 22:47:51	France	191	3	12	176	8
20200303231332	2020-03-03 23:13:32	France	212	4	12	196	8
20200304230748	2020-03-04 23:07:48	France	285	4	12	269	15
20200305224916	2020-03-05 22:49:16	France	423	7	12	404	23
20200306224331	2020-03-06 22:43:31	France	653	9	12	632	23
20200307225610	2020-03-07 22:56:10	France	949	16	12	921	45
20200308232251	2020-03-08 23:22:51	France	1126	19	12	1095	45
20200309234747	2020-03-09 23:47:47	France	1412	30	12	1370	66
20200310233243	2020-03-10 23:32:43	France	1784	33	12	1739	86
20200311234701	2020-03-11 23:47:01	France	2281	48	12	2221	105
20200312233926	2020-03-12 23:39:26	France	2876	61	12	2803	129
20200313235940	2020-03-13 23:59:40	France	3661	79	12	3570	154
20200314235906	2020-03-14 23:59:06	France	4469	91	12	4366	154
20200315231920	2020-03-15 23:19:20	France	5423	127	12	5284	400
20200316232604	2020-03-16 23:26:04	France	6633	148	12	6473	400
20200317234753	2020-03-17 23:47:53	France	7730	175	602	6953	699
20200318234401	2020-03-18 23:44:01	France	7730	175	602	6953	699
20200319131523	2020-03-19 13:15:23	France	9134	264	602	8268	931
