timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200226234848	2020-02-26 23:48:48	Georgia	1	0	0		0
20200227234720	2020-02-27 23:47:20	Georgia	1	0	0		0
20200228231028	2020-02-28 23:10:28	Georgia	2	0	0		0
20200229235144	2020-02-29 23:51:44	Georgia	3	0	0	3	0
20200301234648	2020-03-01 23:46:48	Georgia	3	0	0	3	0
20200302224751	2020-03-02 22:47:51	Georgia	3	0	0	3	0
20200303231332	2020-03-03 23:13:32	Georgia	3	0	0	3	0
20200304230748	2020-03-04 23:07:48	Georgia	3	0	0	3	0
20200305224916	2020-03-05 22:49:16	Georgia	9	0	0	9	1
20200306224331	2020-03-06 22:43:31	Georgia	9	0	0	9	1
20200307225610	2020-03-07 22:56:10	Georgia	13	0	0	13	1
20200308232251	2020-03-08 23:22:51	Georgia	13	0	0	13	1
20200309234747	2020-03-09 23:47:47	Georgia	15	0	0	15	1
20200310233243	2020-03-10 23:32:43	Georgia	23	0	0	23	1
20200311234701	2020-03-11 23:47:01	Georgia	24	0	0	24	1
20200312233926	2020-03-12 23:39:26	Georgia	25	0	0	25	1
20200313235940	2020-03-13 23:59:40	Georgia	25	0	0	25	1
20200314235906	2020-03-14 23:59:06	Georgia	30	0	0	30	1
20200315231920	2020-03-15 23:19:20	Georgia	33	0	1	32	1
20200316232604	2020-03-16 23:26:04	Georgia	33	0	1	32	1
20200317234753	2020-03-17 23:47:53	Georgia	34	0	1	33	1
20200318234401	2020-03-18 23:44:01	Georgia	34	0	1	33	1
20200319131523	2020-03-19 13:15:23	Georgia	38	0	1	37	1
20200320120009	2020-03-20 12:00:09	Georgia	40	0	1	39	1
20200321120003	2020-03-21 12:00:03	Georgia	44	0	1	43	1
20200322120004	2020-03-22 12:00:04	Georgia	49	0	1	48	1
20200323120003	2020-03-23 12:00:03	Georgia	54	0	1	53	1
20200324120004	2020-03-24 12:00:04	Georgia	61	0	8	53	1
20200325120004	2020-03-25 12:00:04	Georgia	70	0	9	61	1
20200326120004	2020-03-26 12:00:04	Georgia	75	0	10	65	1
20200327120003	2020-03-27 12:00:03	Georgia	79	0	11	68	1
20200328000003	2020-03-28 00:00:03	Georgia	79	0	11	68	1
20200330165358	2020-03-30 16:53:58	Georgia	91	0	18	73	1
20200331120003	2020-03-31 12:00:03	Georgia	103	0	20	83	6
20200401120003	2020-04-01 12:00:03	Georgia	110	0	21	89	6
20200402120004	2020-04-02 12:00:04	Georgia	117	0	23	94	6
