timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200313235940	2020-03-13 23:59:40	Ghana	2	0	0	2	0
20200314235906	2020-03-14 23:59:06	Ghana	2	0	0	2	0
20200315231920	2020-03-15 23:19:20	Ghana	6	0	0	6	0
20200316232604	2020-03-16 23:26:04	Ghana	6	0	0	6	0
20200317234753	2020-03-17 23:47:53	Ghana	7	0	0	7	0
20200318234401	2020-03-18 23:44:01	Ghana	7	0	0	7	0
20200319131523	2020-03-19 13:15:23	Ghana	7	0	0	7	0
20200320120009	2020-03-20 12:00:09	Ghana	11	0	0	11	0
20200321120003	2020-03-21 12:00:03	Ghana	16	0	0	16	0
20200322120004	2020-03-22 12:00:04	Ghana	21	1	0	20	0
20200323120003	2020-03-23 12:00:03	Ghana	23	1	0	22	0
20200324120004	2020-03-24 12:00:04	Ghana	27	2	0	25	0
20200325120004	2020-03-25 12:00:04	Ghana	53	2	0	51	0
20200326120004	2020-03-26 12:00:04	Ghana	68	4	0	64	0
20200327120003	2020-03-27 12:00:03	Ghana	132	4	1	127	0
20200328000003	2020-03-28 00:00:03	Ghana	132	4	1	127	0
20200330165358	2020-03-30 16:53:58	Ghana	152	5	2	145	1
