timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200305224916	2020-03-05 22:49:16	Gibraltar	1	0	0	1	0
20200306224331	2020-03-06 22:43:31	Gibraltar	1	0	0	1	1
20200307225610	2020-03-07 22:56:10	Gibraltar	1	0	0	1	1
20200308232251	2020-03-08 23:22:51	Gibraltar	1	0	1	0	1
20200309234747	2020-03-09 23:47:47	Gibraltar	1	0	1	0	0
20200310233243	2020-03-10 23:32:43	Gibraltar	1	0	1	0	0
20200311234701	2020-03-11 23:47:01	Gibraltar	1	0	1	0	0
20200312233926	2020-03-12 23:39:26	Gibraltar	1	0	1	0	0
20200313235940	2020-03-13 23:59:40	Gibraltar	1	0	1	0	0
20200314235906	2020-03-14 23:59:06	Gibraltar	1	0	1	0	0
20200315231920	2020-03-15 23:19:20	Gibraltar	1	0	1	0	0
20200316232604	2020-03-16 23:26:04	Gibraltar	3	0	1	2	0
20200317234753	2020-03-17 23:47:53	Gibraltar	3	0	2	1	0
20200318234401	2020-03-18 23:44:01	Gibraltar	3	0	2	1	0
20200319131523	2020-03-19 13:15:23	Gibraltar	8	0	2	6	0
20200320120009	2020-03-20 12:00:09	Gibraltar	10	0	2	8	0
20200321120003	2020-03-21 12:00:03	Gibraltar	10	0	2	8	0
20200322120004	2020-03-22 12:00:04	Gibraltar	10	0	2	8	0
