timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200226234848	2020-02-26 23:48:48	Greece	1	0	0		0
20200227234720	2020-02-27 23:47:20	Greece	3	0	0		0
20200228231028	2020-02-28 23:10:28	Greece	4	0	0		0
20200229235144	2020-02-29 23:51:44	Greece	4	0	0	4	0
20200301234648	2020-03-01 23:46:48	Greece	7	0	0	7	0
20200302224751	2020-03-02 22:47:51	Greece	7	0	0	7	0
20200303231332	2020-03-03 23:13:32	Greece	7	0	0	7	0
20200304230748	2020-03-04 23:07:48	Greece	9	0	0	9	0
20200305224916	2020-03-05 22:49:16	Greece	31	0	0	31	0
20200306224331	2020-03-06 22:43:31	Greece	45	0	0	45	1
20200307225610	2020-03-07 22:56:10	Greece	66	0	0	66	1
20200308232251	2020-03-08 23:22:51	Greece	73	0	0	73	1
20200309234747	2020-03-09 23:47:47	Greece	84	0	0	84	1
20200310233243	2020-03-10 23:32:43	Greece	89	0	0	89	1
20200311234701	2020-03-11 23:47:01	Greece	99	0	0	99	2
20200312233926	2020-03-12 23:39:26	Greece	117	1	0	116	2
20200313235940	2020-03-13 23:59:40	Greece	190	1	2	187	2
20200314235906	2020-03-14 23:59:06	Greece	228	3	8	217	5
20200315231920	2020-03-15 23:19:20	Greece	331	4	8	319	5
20200316232604	2020-03-16 23:26:04	Greece	352	4	8	340	5
20200317234753	2020-03-17 23:47:53	Greece	387	5	14	368	11
20200318234401	2020-03-18 23:44:01	Greece	387	5	14	368	11
20200319131523	2020-03-19 13:15:23	Greece	418	5	14	399	13
20200320120009	2020-03-20 12:00:09	Greece	464	6	19	439	16
20200321120003	2020-03-21 12:00:03	Greece	495	10	19	466	20
20200322120004	2020-03-22 12:00:04	Greece	530	13	19	498	18
20200323120003	2020-03-23 12:00:03	Greece	624	15	19	590	18
20200324120004	2020-03-24 12:00:04	Greece	695	17	29	649	35
20200325120004	2020-03-25 12:00:04	Greece	743	20	29	694	35
20200326120004	2020-03-26 12:00:04	Greece	821	22	36	763	53
20200327120003	2020-03-27 12:00:03	Greece	892	27	36	829	53
20200328000003	2020-03-28 00:00:03	Greece	892	27	36	829	53
20200330165358	2020-03-30 16:53:58	Greece	1156	39	52	1065	66
