timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200313235940	2020-03-13 23:59:40	Guadeloupe	1	0	0	1	0
20200314235906	2020-03-14 23:59:06	Guadeloupe	3	0	0	3	0
20200315231920	2020-03-15 23:19:20	Guadeloupe	3	0	0	3	0
20200316232604	2020-03-16 23:26:04	Guadeloupe	6	0	0	6	0
20200317234753	2020-03-17 23:47:53	Guadeloupe	6	0	0	6	0
20200318234401	2020-03-18 23:44:01	Guadeloupe	18	0	0	18	0
20200319131523	2020-03-19 13:15:23	Guadeloupe	33	0	0	33	0
20200320120009	2020-03-20 12:00:09	Guadeloupe	33	0	0	33	0
20200321120003	2020-03-21 12:00:03	Guadeloupe	51	1	0	50	4
20200322120004	2020-03-22 12:00:04	Guadeloupe	56	1	0	55	4
20200323120003	2020-03-23 12:00:03	Guadeloupe	58	1	0	57	4
20200324120004	2020-03-24 12:00:04	Guadeloupe	62	1	0	61	4
20200325120004	2020-03-25 12:00:04	Guadeloupe	73	1	0	72	4
20200326120004	2020-03-26 12:00:04	Guadeloupe	73	1	0	72	4
20200327120003	2020-03-27 12:00:03	Guadeloupe	73	1	0	72	4
20200328000003	2020-03-28 00:00:03	Guadeloupe	73	1	0	72	4
20200330165358	2020-03-30 16:53:58	Guadeloupe	106	4	17	85	10
20200331120003	2020-03-31 12:00:03	Guadeloupe	106	4	17	85	10
20200401120003	2020-04-01 12:00:03	Guadeloupe	114	4	22	88	14
20200402120004	2020-04-02 12:00:04	Guadeloupe	125	6	24	95	14
