timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200315231920	2020-03-15 23:19:20	Guam	3	0	0	3	0
20200316232604	2020-03-16 23:26:04	Guam	3	0	0	3	0
20200317234753	2020-03-17 23:47:53	Guam	5	0	0	5	0
20200318234401	2020-03-18 23:44:01	Guam	5	0	0	5	0
20200319131523	2020-03-19 13:15:23	Guam	8	0	0	8	0
20200320120009	2020-03-20 12:00:09	Guam	12	0	0	12	0
20200321120003	2020-03-21 12:00:03	Guam	14	0	0	14	0
20200322120004	2020-03-22 12:00:04	Guam	15	0	0	15	0
20200323120003	2020-03-23 12:00:03	Guam	27	1	0	26	0
20200324120004	2020-03-24 12:00:04	Guam	29	1	0	28	0
