timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200326120004	2020-03-26 12:00:04	Guinea-Bissau	2	0	0	2	0
20200327120003	2020-03-27 12:00:03	Guinea-Bissau	2	0	0	2	0
20200328000003	2020-03-28 00:00:03	Guinea-Bissau	2	0	0	2	0
20200330165358	2020-03-30 16:53:58	Guinea-Bissau	2	0	0	2	0
20200331120003	2020-03-31 12:00:03	Guinea-Bissau	8	0	0	8	0
20200401120003	2020-04-01 12:00:03	Guinea-Bissau	8	0	0	8	0
20200402120004	2020-04-02 12:00:04	Guinea-Bissau	9	0	0	9	0
20200403120003	2020-04-03 12:00:03	Guinea-Bissau	9	0	0	9	0
20200404120004	2020-04-04 12:00:04	Guinea-Bissau	15	0	0	15	0
20200405120003	2020-04-05 12:00:03	Guinea-Bissau	18	0	0	18	0
20200406120003	2020-04-06 12:00:03	Guinea-Bissau	18	0	0	18	0
