timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200321120003	2020-03-21 12:00:03	Haiti	2	0	0	2	0
20200322120004	2020-03-22 12:00:04	Haiti	2	0	0	2	0
20200323120003	2020-03-23 12:00:03	Haiti	2	0	0	2	0
20200324120004	2020-03-24 12:00:04	Haiti	6	0	0	6	0
20200325120004	2020-03-25 12:00:04	Haiti	7	0	0	7	0
20200326120004	2020-03-26 12:00:04	Haiti	8	0	0	8	0
20200327120003	2020-03-27 12:00:03	Haiti	8	0	0	8	0
20200328000003	2020-03-28 00:00:03	Haiti	8	0	0	8	0
20200330165358	2020-03-30 16:53:58	Haiti	15	0	1	14	0
20200331120003	2020-03-31 12:00:03	Haiti	15	0	1	14	0
20200401120003	2020-04-01 12:00:03	Haiti	15	0	1	14	0
20200402120004	2020-04-02 12:00:04	Haiti	16	0	1	15	0
