timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200311234701	2020-03-11 23:47:01	Honduras	2	0	0	2	0
20200312233926	2020-03-12 23:39:26	Honduras	2	0	0	2	0
20200313235940	2020-03-13 23:59:40	Honduras	2	0	0	2	0
20200314235906	2020-03-14 23:59:06	Honduras	3	0	0	3	0
20200315231920	2020-03-15 23:19:20	Honduras	3	0	0	3	0
20200316232604	2020-03-16 23:26:04	Honduras	6	0	0	6	0
20200317234753	2020-03-17 23:47:53	Honduras	8	0	0	8	0
20200318234401	2020-03-18 23:44:01	Honduras	8	0	0	8	0
20200319131523	2020-03-19 13:15:23	Honduras	9	0	0	9	0
20200320120009	2020-03-20 12:00:09	Honduras	12	0	0	12	0
20200321120003	2020-03-21 12:00:03	Honduras	24	0	0	24	0
20200322120004	2020-03-22 12:00:04	Honduras	24	0	0	24	0
20200323120003	2020-03-23 12:00:03	Honduras	26	0	0	26	0
20200324120004	2020-03-24 12:00:04	Honduras	30	0	0	30	0
