timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200129195657	2020-01-29 19:56:57	Hong Kong	11	0			
20200130193726	2020-01-30 19:37:26	Hong Kong	11	0			
20200131214927	2020-01-31 21:49:27	Hong Kong	13	0			
20200201155449	2020-02-01 15:54:49	Hong Kong	13	0			
20200202162745	2020-02-02 16:27:45	Hong Kong	14	0			
20200203164423	2020-02-03 16:44:23	Hong Kong	15	0	0		0
20200204230701	2020-02-04 23:07:01	Hong Kong	17	1	0		0
20200205184441	2020-02-05 18:44:41	Hong Kong	21	1	0		0
20200206231855	2020-02-06 23:18:55	Hong Kong	24	1	0		0
20200207180939	2020-02-07 18:09:39	Hong Kong	25	1	0		0
20200208224247	2020-02-08 22:42:47	Hong Kong	26	1	0		0
20200210194000	2020-02-10 19:40:00	Hong Kong	42	1	0		0
20200211210512	2020-02-11 21:05:12	Hong Kong	49	1	0		0
20200212102815	2020-02-12 10:28:15	Hong Kong	49	1	0		0
20200213195411	2020-02-13 19:54:11	Hong Kong	53	1	1		2
20200214232753	2020-02-14 23:27:53	Hong Kong	56	1	1		7
20200215063649	2020-02-15 06:36:49	Hong Kong	56	1	1		7
20200216230426	2020-02-16 23:04:26	Hong Kong	57	1	2		7
20200217113920	2020-02-17 11:39:20	Hong Kong	58	1	2		7
20200218164329	2020-02-18 16:43:29	Hong Kong	62	1	2		7
20200219180116	2020-02-19 18:01:16	Hong Kong	65	2	5		6
20200220220812	2020-02-20 22:08:12	Hong Kong	67	2	6		6
20200221233317	2020-02-21 23:33:17	Hong Kong	69	2	6		6
20200222234612	2020-02-22 23:46:12	Hong Kong	70	2	11		6
20200223235611	2020-02-23 23:56:11	Hong Kong	74	2	12		6
20200224234216	2020-02-24 23:42:16	Hong Kong	81	2	12		6
20200225235434	2020-02-25 23:54:34	Hong Kong	85	2	18		6
20200226234848	2020-02-26 23:48:48	Hong Kong	89	2	18		6
20200227234720	2020-02-27 23:47:20	Hong Kong	92	2	18		6
20200228231028	2020-02-28 23:10:28	Hong Kong	93	2	18		6
20200229235144	2020-02-29 23:51:44	Hong Kong	93	2	30	61	6
20200301234648	2020-03-01 23:46:48	Hong Kong	100	2	36	62	6
20200302224751	2020-03-02 22:47:51	Hong Kong	100	2	36	62	6
20200303231332	2020-03-03 23:13:32	Hong Kong	101	2	37	62	6
20200304230748	2020-03-04 23:07:48	Hong Kong	103	2	37	64	6
20200305224916	2020-03-05 22:49:16	Hong Kong	105	2	37	66	6
20200306224331	2020-03-06 22:43:31	Hong Kong	108	2	51	55	6
20200307225610	2020-03-07 22:56:10	Hong Kong	108	2	51	55	6
20200308232251	2020-03-08 23:22:51	Hong Kong	115	3	59	53	6
20200309234747	2020-03-09 23:47:47	Hong Kong	116	3	59	54	6
20200310233243	2020-03-10 23:32:43	Hong Kong	121	3	59	59	6
20200311234701	2020-03-11 23:47:01	Hong Kong	126	3	60	63	6
20200312233926	2020-03-12 23:39:26	Hong Kong	130	3	77	50	6
20200313235940	2020-03-13 23:59:40	Hong Kong	132	4	77	51	4
20200314235906	2020-03-14 23:59:06	Hong Kong	142	4	81	57	4
20200315231920	2020-03-15 23:19:20	Hong Kong	149	4	81	64	4
20200316232604	2020-03-16 23:26:04	Hong Kong	155	4	81	70	4
20200317234753	2020-03-17 23:47:53	Hong Kong	168	4	81	83	4
20200318234401	2020-03-18 23:44:01	Hong Kong	168	4	81	83	4
20200319131523	2020-03-19 13:15:23	Hong Kong	193	4	95	94	4
20200320120009	2020-03-20 12:00:09	Hong Kong	208	4	98	106	4
20200321120003	2020-03-21 12:00:03	Hong Kong	256	4	98	154	4
20200322120004	2020-03-22 12:00:04	Hong Kong	274	4	100	170	4
20200323120003	2020-03-23 12:00:03	Hong Kong	318	4	100	214	4
20200324120004	2020-03-24 12:00:04	Hong Kong	357	4	100	253	4
20200325120004	2020-03-25 12:00:04	Hong Kong	387	4	102	281	4
20200326120004	2020-03-26 12:00:04	Hong Kong	411	4	102	305	4
20200327120003	2020-03-27 12:00:03	Hong Kong	454	4	110	340	5
20200328000003	2020-03-28 00:00:03	Hong Kong	454	4	110	340	5
20200330165358	2020-03-30 16:53:58	Hong Kong	642	4	118	520	5
20200331120003	2020-03-31 12:00:03	Hong Kong	683	4	118	561	5
20200401120003	2020-04-01 12:00:03	Hong Kong	715	4	128	583	5
20200402120004	2020-04-02 12:00:04	Hong Kong	766	4	147	615	5
