timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200304230748	2020-03-04 23:07:48	Hungary	2	0	0	2	0
20200305224916	2020-03-05 22:49:16	Hungary	4	0	0	4	0
20200306224331	2020-03-06 22:43:31	Hungary	4	0	0	4	0
20200307225610	2020-03-07 22:56:10	Hungary	5	0	0	5	0
20200308232251	2020-03-08 23:22:51	Hungary	7	0	0	7	0
20200309234747	2020-03-09 23:47:47	Hungary	9	0	0	9	0
20200310233243	2020-03-10 23:32:43	Hungary	12	0	0	12	0
20200311234701	2020-03-11 23:47:01	Hungary	13	0	0	13	0
20200312233926	2020-03-12 23:39:26	Hungary	16	0	0	16	0
20200313235940	2020-03-13 23:59:40	Hungary	19	0	0	19	0
20200314235906	2020-03-14 23:59:06	Hungary	30	0	1	29	0
20200315231920	2020-03-15 23:19:20	Hungary	32	1	1	30	0
20200316232604	2020-03-16 23:26:04	Hungary	39	1	2	36	0
20200317234753	2020-03-17 23:47:53	Hungary	50	1	2	47	0
20200318234401	2020-03-18 23:44:01	Hungary	50	1	2	47	0
20200319131523	2020-03-19 13:15:23	Hungary	58	1	2	55	4
20200320120009	2020-03-20 12:00:09	Hungary	73	1	2	70	4
20200321120003	2020-03-21 12:00:03	Hungary	85	4	7	74	6
20200322120004	2020-03-22 12:00:04	Hungary	103	4	7	92	6
20200323120003	2020-03-23 12:00:03	Hungary	131	6	16	109	6
20200324120004	2020-03-24 12:00:04	Hungary	167	8	21	138	6
20200325120004	2020-03-25 12:00:04	Hungary	187	9	21	157	6
20200326120004	2020-03-26 12:00:04	Hungary	226	10	21	195	6
20200327120003	2020-03-27 12:00:03	Hungary	261	10	28	223	6
20200328000003	2020-03-28 00:00:03	Hungary	261	10	28	223	6
20200330165358	2020-03-30 16:53:58	Hungary	408	13	34	361	6
20200331120003	2020-03-31 12:00:03	Hungary	447	15	34	398	6
20200401120003	2020-04-01 12:00:03	Hungary	492	16	37	439	6
20200402120004	2020-04-02 12:00:04	Hungary	525	20	40	465	17
20200403120003	2020-04-03 12:00:03	Hungary	585	21	42	522	17
20200404120004	2020-04-04 12:00:04	Hungary	623	26	43	554	17
20200405120003	2020-04-05 12:00:03	Hungary	678	32	58	588	17
20200406120003	2020-04-06 12:00:03	Hungary	733	34	66	633	17
