timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200302224751	2020-03-02 22:47:51	Indonesia	2	0	0	2	0
20200303231332	2020-03-03 23:13:32	Indonesia	2	0	0	2	0
20200304230748	2020-03-04 23:07:48	Indonesia	2	0	0	2	0
20200305224916	2020-03-05 22:49:16	Indonesia	2	0	0	2	0
20200306224331	2020-03-06 22:43:31	Indonesia	4	0	0	4	0
20200307225610	2020-03-07 22:56:10	Indonesia	4	0	0	4	0
20200308232251	2020-03-08 23:22:51	Indonesia	6	0	0	6	0
20200309234747	2020-03-09 23:47:47	Indonesia	19	0	0	19	0
20200310233243	2020-03-10 23:32:43	Indonesia	27	0	2	25	0
20200311234701	2020-03-11 23:47:01	Indonesia	34	1	2	31	0
20200312233926	2020-03-12 23:39:26	Indonesia	34	1	3	30	0
20200313235940	2020-03-13 23:59:40	Indonesia	69	4	5	60	0
20200314235906	2020-03-14 23:59:06	Indonesia	96	5	8	83	0
20200315231920	2020-03-15 23:19:20	Indonesia	117	5	8	104	0
20200316232604	2020-03-16 23:26:04	Indonesia	134	5	8	121	0
20200317234753	2020-03-17 23:47:53	Indonesia	172	7	9	156	0
20200318234401	2020-03-18 23:44:01	Indonesia	172	7	9	156	0
20200319131523	2020-03-19 13:15:23	Indonesia	227	19	11	197	0
20200320120009	2020-03-20 12:00:09	Indonesia	309	25	15	269	0
20200321120003	2020-03-21 12:00:03	Indonesia	369	32	17	320	0
20200322120004	2020-03-22 12:00:04	Indonesia	450	38	20	392	0
20200323120003	2020-03-23 12:00:03	Indonesia	514	48	29	437	0
20200324120004	2020-03-24 12:00:04	Indonesia	579	49	30	500	0
20200325120004	2020-03-25 12:00:04	Indonesia	686	55	30	601	0
20200326120004	2020-03-26 12:00:04	Indonesia	790	58	31	701	0
20200327120003	2020-03-27 12:00:03	Indonesia	893	78	35	780	0
20200328000003	2020-03-28 00:00:03	Indonesia	893	78	35	780	0
20200330165358	2020-03-30 16:53:58	Indonesia	1285	114	64	1107	0
