timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200222234612	2020-02-22 23:46:12	Iraq	1	0	0		0
20200223235611	2020-02-23 23:56:11	Iraq	1	0	0		0
20200224234216	2020-02-24 23:42:16	Iraq	1	0	0		0
20200225235434	2020-02-25 23:54:34	Iraq	5	0	0		0
20200226234848	2020-02-26 23:48:48	Iraq	5	0	0		0
20200227234720	2020-02-27 23:47:20	Iraq	7	0	0		0
20200228231028	2020-02-28 23:10:28	Iraq	8	0	0		0
20200229235144	2020-02-29 23:51:44	Iraq	13	0	0	13	0
20200301234648	2020-03-01 23:46:48	Iraq	19	0	0	19	0
20200302224751	2020-03-02 22:47:51	Iraq	26	0	0	26	0
20200303231332	2020-03-03 23:13:32	Iraq	32	0	0	32	0
20200304230748	2020-03-04 23:07:48	Iraq	35	2	0	33	0
20200305224916	2020-03-05 22:49:16	Iraq	36	3	0	33	0
20200306224331	2020-03-06 22:43:31	Iraq	48	4	1	43	0
20200307225610	2020-03-07 22:56:10	Iraq	54	4	1	49	0
20200308232251	2020-03-08 23:22:51	Iraq	60	6	1	53	0
20200309234747	2020-03-09 23:47:47	Iraq	71	7	3	61	0
20200310233243	2020-03-10 23:32:43	Iraq	71	7	15	49	0
20200311234701	2020-03-11 23:47:01	Iraq	71	7	15	49	0
20200312233926	2020-03-12 23:39:26	Iraq	83	8	24	51	0
20200313235940	2020-03-13 23:59:40	Iraq	101	9	24	68	0
20200314235906	2020-03-14 23:59:06	Iraq	110	10	26	74	0
20200315231920	2020-03-15 23:19:20	Iraq	124	10	26	88	0
20200316232604	2020-03-16 23:26:04	Iraq	133	10	32	91	0
20200317234753	2020-03-17 23:47:53	Iraq	154	11	41	102	0
20200318234401	2020-03-18 23:44:01	Iraq	154	11	41	102	0
20200319131523	2020-03-19 13:15:23	Iraq	164	12	41	111	0
20200320120009	2020-03-20 12:00:09	Iraq	192	13	49	130	0
20200321120003	2020-03-21 12:00:03	Iraq	208	17	49	142	0
20200322120004	2020-03-22 12:00:04	Iraq	214	17	51	146	0
20200323120003	2020-03-23 12:00:03	Iraq	233	20	57	156	0
20200324120004	2020-03-24 12:00:04	Iraq	266	23	62	181	0
