timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200229235144	2020-02-29 23:51:44	Ireland	1	0	0	1	0
20200301234648	2020-03-01 23:46:48	Ireland	1	0	0	1	0
20200302224751	2020-03-02 22:47:51	Ireland	1	0	0	1	0
20200303231332	2020-03-03 23:13:32	Ireland	2	0	0	2	0
20200304230748	2020-03-04 23:07:48	Ireland	6	0	0	6	0
20200305224916	2020-03-05 22:49:16	Ireland	13	0	0	13	0
20200306224331	2020-03-06 22:43:31	Ireland	18	0	0	18	0
20200307225610	2020-03-07 22:56:10	Ireland	19	0	0	19	0
20200308232251	2020-03-08 23:22:51	Ireland	21	0	0	21	0
20200309234747	2020-03-09 23:47:47	Ireland	24	0	0	24	0
20200310233243	2020-03-10 23:32:43	Ireland	34	0	0	34	0
20200311234701	2020-03-11 23:47:01	Ireland	43	1	0	42	0
20200312233926	2020-03-12 23:39:26	Ireland	70	1	0	69	6
20200313235940	2020-03-13 23:59:40	Ireland	90	1	0	89	6
20200314235906	2020-03-14 23:59:06	Ireland	129	2	0	127	6
20200315231920	2020-03-15 23:19:20	Ireland	170	2	1	167	6
20200316232604	2020-03-16 23:26:04	Ireland	223	2	5	216	6
20200317234753	2020-03-17 23:47:53	Ireland	292	2	5	285	6
20200318234401	2020-03-18 23:44:01	Ireland	292	2	5	285	6
20200319131523	2020-03-19 13:15:23	Ireland	366	2	5	359	6
20200320120009	2020-03-20 12:00:09	Ireland	557	3	5	549	6
20200321120003	2020-03-21 12:00:03	Ireland	683	3	5	675	6
20200322120004	2020-03-22 12:00:04	Ireland	785	3	5	777	13
20200323120003	2020-03-23 12:00:03	Ireland	906	4	5	897	29
20200324120004	2020-03-24 12:00:04	Ireland	1125	6	5	1114	29
20200325120004	2020-03-25 12:00:04	Ireland	1329	7	5	1317	29
20200326120004	2020-03-26 12:00:04	Ireland	1564	9	5	1550	39
20200327120003	2020-03-27 12:00:03	Ireland	1819	19	5	1795	47
20200328000003	2020-03-28 00:00:03	Ireland	1819	19	5	1795	47
20200330165358	2020-03-30 16:53:58	Ireland	2615	46	5	2564	59
20200331120003	2020-03-31 12:00:03	Ireland	2910	54	5	2851	84
20200401120003	2020-04-01 12:00:03	Ireland	3235	71	5	3159	103
20200402120004	2020-04-02 12:00:04	Ireland	3447	85	5	3357	103
20200403120003	2020-04-03 12:00:03	Ireland	3849	98	5	3746	109
20200404120004	2020-04-04 12:00:04	Ireland	4273	120	25	4128	148
20200405120003	2020-04-05 12:00:03	Ireland	4604	137	25	4442	148
20200406120003	2020-04-06 12:00:03	Ireland	4994	158	25	4811	165
