timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200320120009	2020-03-20 12:00:09	Isle of Man	1	0	0	1	0
20200321120003	2020-03-21 12:00:03	Isle of Man	2	0	0	2	0
20200322120004	2020-03-22 12:00:04	Isle of Man	2	0	0	2	0
20200323120003	2020-03-23 12:00:03	Isle of Man	5	0	0	5	0
20200324120004	2020-03-24 12:00:04	Isle of Man	13	0	0	13	0
20200325120004	2020-03-25 12:00:04	Isle of Man	23	0	0	23	0
20200326120004	2020-03-26 12:00:04	Isle of Man	23	0	0	23	0
20200327120003	2020-03-27 12:00:03	Isle of Man	26	0	0	26	0
20200328000003	2020-03-28 00:00:03	Isle of Man	26	0	0	26	0
20200330165358	2020-03-30 16:53:58	Isle of Man	42	0	0	42	0
20200331120003	2020-03-31 12:00:03	Isle of Man	49	0	0	49	0
20200401120003	2020-04-01 12:00:03	Isle of Man	60	0	0	60	0
20200402120004	2020-04-02 12:00:04	Isle of Man	68	1	0	67	0
20200403120003	2020-04-03 12:00:03	Isle of Man	95	1	0	94	0
20200404120004	2020-04-04 12:00:04	Isle of Man	114	1	0	113	0
20200405120003	2020-04-05 12:00:03	Isle of Man	126	1	0	125	0
20200406120003	2020-04-06 12:00:03	Isle of Man	127	1	0	126	0
