timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200221233317	2020-02-21 23:33:17	Israel	1	0	0		0
20200222234612	2020-02-22 23:46:12	Israel	1	0	0		0
20200223235611	2020-02-23 23:56:11	Israel	2	0	0		0
20200224234216	2020-02-24 23:42:16	Israel	2	0	0		0
20200225235434	2020-02-25 23:54:34	Israel	2	0	0		0
20200226234848	2020-02-26 23:48:48	Israel	2	0	0		0
20200227234720	2020-02-27 23:47:20	Israel	3	0	0		0
20200228231028	2020-02-28 23:10:28	Israel	7	0	1		0
20200229235144	2020-02-29 23:51:44	Israel	7	0	1	6	0
20200301234648	2020-03-01 23:46:48	Israel	10	0	1	9	0
20200302224751	2020-03-02 22:47:51	Israel	12	0	1	11	0
20200303231332	2020-03-03 23:13:32	Israel	12	0	1	11	0
20200304230748	2020-03-04 23:07:48	Israel	15	0	1	14	0
20200305224916	2020-03-05 22:49:16	Israel	17	0	2	15	0
20200306224331	2020-03-06 22:43:31	Israel	21	0	2	19	0
20200307225610	2020-03-07 22:56:10	Israel	25	0	3	22	1
20200308232251	2020-03-08 23:22:51	Israel	39	0	3	36	1
20200309234747	2020-03-09 23:47:47	Israel	50	0	4	46	1
20200310233243	2020-03-10 23:32:43	Israel	75	0	4	71	1
20200311234701	2020-03-11 23:47:01	Israel	97	0	4	93	2
20200312233926	2020-03-12 23:39:26	Israel	109	0	4	105	2
20200313235940	2020-03-13 23:59:40	Israel	126	0	4	122	2
20200314235906	2020-03-14 23:59:06	Israel	193	0	4	189	3
20200315231920	2020-03-15 23:19:20	Israel	213	0	4	209	2
20200316232604	2020-03-16 23:26:04	Israel	298	0	4	294	4
20200317234753	2020-03-17 23:47:53	Israel	337	0	11	326	5
20200318234401	2020-03-18 23:44:01	Israel	337	0	11	326	5
20200319131523	2020-03-19 13:15:23	Israel	433	0	11	422	6
20200320120009	2020-03-20 12:00:09	Israel	677	0	14	663	6
20200321120003	2020-03-21 12:00:03	Israel	705	1	15	689	10
20200322120004	2020-03-22 12:00:04	Israel	883	1	36	846	15
20200323120003	2020-03-23 12:00:03	Israel	1071	1	37	1033	18
20200324120004	2020-03-24 12:00:04	Israel	1442	1	41	1400	29
20200325120004	2020-03-25 12:00:04	Israel	1930	3	53	1874	34
20200326120004	2020-03-26 12:00:04	Israel	2369	5	58	2306	37
20200327120003	2020-03-27 12:00:03	Israel	2693	8	68	2617	46
20200328000003	2020-03-28 00:00:03	Israel	2693	8	68	2617	46
20200330165358	2020-03-30 16:53:58	Israel	4247	15	132	4100	74
20200331120003	2020-03-31 12:00:03	Israel	4695	16	161	4518	79
20200401120003	2020-04-01 12:00:03	Israel	5358	20	224	5114	94
20200402120004	2020-04-02 12:00:04	Israel	6092	26	241	5825	95
