timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200131214927	2020-01-31 21:49:27	Italy	2	0			
20200201155449	2020-02-01 15:54:49	Italy	2	0			
20200202162745	2020-02-02 16:27:45	Italy	2	0			
20200203164423	2020-02-03 16:44:23	Italy	2	0	0		0
20200204230701	2020-02-04 23:07:01	Italy	2	0	0		2
20200205184441	2020-02-05 18:44:41	Italy	2	0	0		2
20200206231855	2020-02-06 23:18:55	Italy	3	0	0		2
20200207180939	2020-02-07 18:09:39	Italy	3	0	0		2
20200208224247	2020-02-08 22:42:47	Italy	3	0	0		2
20200210194000	2020-02-10 19:40:00	Italy	3	0	0		2
20200211210512	2020-02-11 21:05:12	Italy	3	0	0		2
20200212102815	2020-02-12 10:28:15	Italy	3	0	0		2
20200213195411	2020-02-13 19:54:11	Italy	3	0	0		2
20200214232753	2020-02-14 23:27:53	Italy	3	0	0		2
20200215063649	2020-02-15 06:36:49	Italy	3	0	0		2
20200216230426	2020-02-16 23:04:26	Italy	3	0	0		2
20200217113920	2020-02-17 11:39:20	Italy	3	0	0		2
20200218164329	2020-02-18 16:43:29	Italy	3	0	0		2
20200219180116	2020-02-19 18:01:16	Italy	3	0	0		2
20200220220812	2020-02-20 22:08:12	Italy	3	0	0		2
20200221233317	2020-02-21 23:33:17	Italy	21	1	1		7
20200222234612	2020-02-22 23:46:12	Italy	79	2	2		18
20200223235611	2020-02-23 23:56:11	Italy	157	3	2		26
20200224234216	2020-02-24 23:42:16	Italy	229	7	1		23
20200225235434	2020-02-25 23:54:34	Italy	323	11	2		19
20200226234848	2020-02-26 23:48:48	Italy	470	12	3		35
20200227234720	2020-02-27 23:47:20	Italy	655	17	45		35
20200228231028	2020-02-28 23:10:28	Italy	889	21	46		64
20200229235144	2020-02-29 23:51:44	Italy	1128	29	50	1049	105
20200301234648	2020-03-01 23:46:48	Italy	1694	34	83	1577	140
20200302224751	2020-03-02 22:47:51	Italy	2036	52	149	1835	166
20200303231332	2020-03-03 23:13:32	Italy	2502	79	160	2263	229
20200304230748	2020-03-04 23:07:48	Italy	3089	107	276	2706	295
20200305224916	2020-03-05 22:49:16	Italy	3858	148	414	3296	351
20200306224331	2020-03-06 22:43:31	Italy	4636	197	523	3916	462
20200307225610	2020-03-07 22:56:10	Italy	5883	233	589	5061	567
20200308232251	2020-03-08 23:22:51	Italy	7375	366	622	6387	650
20200309234747	2020-03-09 23:47:47	Italy	9172	463	724	7985	733
20200310233243	2020-03-10 23:32:43	Italy	10149	631	1004	8514	877
20200311234701	2020-03-11 23:47:01	Italy	12462	827	1045	10590	1028
20200312233926	2020-03-12 23:39:26	Italy	15113	1016	1258	12839	1153
20200313235940	2020-03-13 23:59:40	Italy	17660	1266	1439	14955	1328
20200314235906	2020-03-14 23:59:06	Italy	21157	1441	1966	17750	1518
20200315231920	2020-03-15 23:19:20	Italy	24747	1809	2335	20603	1672
20200316232604	2020-03-16 23:26:04	Italy	27980	2158	2749	23073	1851
20200317234753	2020-03-17 23:47:53	Italy	31506	2503	2941	26062	2060
20200318234401	2020-03-18 23:44:01	Italy	31506	2503	2941	26062	2060
20200319131523	2020-03-19 13:15:23	Italy	35713	2978	4025	28710	2257
