timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200311234701	2020-03-11 23:47:01	Ivory Coast	1	0	0	1	0
20200312233926	2020-03-12 23:39:26	Ivory Coast	1	0	0	1	0
20200313235940	2020-03-13 23:59:40	Ivory Coast	1	0	0	1	0
20200314235906	2020-03-14 23:59:06	Ivory Coast	1	0	0	1	0
20200315231920	2020-03-15 23:19:20	Ivory Coast	4	0	0	4	0
20200316232604	2020-03-16 23:26:04	Ivory Coast	4	0	0	4	0
20200317234753	2020-03-17 23:47:53	Ivory Coast	4	0	0	4	0
20200318234401	2020-03-18 23:44:01	Ivory Coast	4	0	0	4	0
20200319131523	2020-03-19 13:15:23	Ivory Coast	9	0	1	8	0
20200320120009	2020-03-20 12:00:09	Ivory Coast	9	0	1	8	0
20200321120003	2020-03-21 12:00:03	Ivory Coast	9	0	1	8	0
20200322120004	2020-03-22 12:00:04	Ivory Coast	14	0	1	13	0
20200323120003	2020-03-23 12:00:03	Ivory Coast	14	0	1	13	0
20200324120004	2020-03-24 12:00:04	Ivory Coast	25	0	2	23	0
20200325120004	2020-03-25 12:00:04	Ivory Coast	73	0	2	71	0
20200326120004	2020-03-26 12:00:04	Ivory Coast	80	0	3	77	0
20200327120003	2020-03-27 12:00:03	Ivory Coast	96	0	3	93	0
20200328000003	2020-03-28 00:00:03	Ivory Coast	96	0	3	93	0
20200330165358	2020-03-30 16:53:58	Ivory Coast	165	1	4	160	0
20200331120003	2020-03-31 12:00:03	Ivory Coast	168	1	6	161	0
20200401120003	2020-04-01 12:00:03	Ivory Coast	179	1	7	171	0
20200402120004	2020-04-02 12:00:04	Ivory Coast	190	1	9	180	0
20200403120003	2020-04-03 12:00:03	Ivory Coast	194	1	15	178	0
20200404120004	2020-04-04 12:00:04	Ivory Coast	218	1	19	198	0
20200405120003	2020-04-05 12:00:03	Ivory Coast	245	1	25	219	0
20200406120003	2020-04-06 12:00:03	Ivory Coast	261	3	37	221	0
