timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200129195657	2020-01-29 19:56:57	Japan	7	0			
20200130193726	2020-01-30 19:37:26	Japan	14	0			
20200131214927	2020-01-31 21:49:27	Japan	17	0			
20200201155449	2020-02-01 15:54:49	Japan	20	0			
20200202162745	2020-02-02 16:27:45	Japan	20	0			
20200203164423	2020-02-03 16:44:23	Japan	20	0	0		0
20200204230701	2020-02-04 23:07:01	Japan	23	0	0		0
20200205184441	2020-02-05 18:44:41	Japan	35	0	0		0
20200206231855	2020-02-06 23:18:55	Japan	45	0	0		0
20200207180939	2020-02-07 18:09:39	Japan	86	0	4		0
20200208224247	2020-02-08 22:42:47	Japan	89	0	4		0
20200210194000	2020-02-10 19:40:00	Japan	161	0	4		0
20200211210512	2020-02-11 21:05:12	Japan	163	0	4		0
20200212102815	2020-02-12 10:28:15	Japan	203	0	4		0
20200213195411	2020-02-13 19:54:11	Japan	251	1	10		4
20200214232753	2020-02-14 23:27:53	Japan	259	1	11		9
20200215063649	2020-02-15 06:36:49	Japan	260	1	11		9
20200216230426	2020-02-16 23:04:26	Japan	414	1	17		9
20200217113920	2020-02-17 11:39:20	Japan	65	1	17		19
20200218164329	2020-02-18 16:43:29	Japan	74	1	20		4
20200219180116	2020-02-19 18:01:16	Japan	84	1	20		4
20200220220812	2020-02-20 22:08:12	Japan	94	1	20		4
20200221233317	2020-02-21 23:33:17	Japan	108	1	22		5
20200222234612	2020-02-22 23:46:12	Japan	134	1	22		6
20200223235611	2020-02-23 23:56:11	Japan	146	1	23		7
20200224234216	2020-02-24 23:42:16	Japan	159	1	23		7
20200225235434	2020-02-25 23:54:34	Japan	161	1	23		7
20200226234848	2020-02-26 23:48:48	Japan	172	3	23		13
20200227234720	2020-02-27 23:47:20	Japan	207	4	32		13
20200228231028	2020-02-28 23:10:28	Japan	233	5	32		13
20200229235144	2020-02-29 23:51:44	Japan	241	5	32	204	20
20200301234648	2020-03-01 23:46:48	Japan	256	6	42	208	19
20200302224751	2020-03-02 22:47:51	Japan	274	6	42	226	19
20200303231332	2020-03-03 23:13:32	Japan	293	6	43	244	23
20200304230748	2020-03-04 23:07:48	Japan	331	6	43	282	29
20200305224916	2020-03-05 22:49:16	Japan	364	6	43	315	29
20200306224331	2020-03-06 22:43:31	Japan	420	6	46	368	34
20200307225610	2020-03-07 22:56:10	Japan	461	6	76	379	28
20200308232251	2020-03-08 23:22:51	Japan	502	7	76	419	29
20200309234747	2020-03-09 23:47:47	Japan	530	9	101	420	33
20200310233243	2020-03-10 23:32:43	Japan	587	10	102	475	31
20200311234701	2020-03-11 23:47:01	Japan	639	15	118	506	26
20200312233926	2020-03-12 23:39:26	Japan	691	19	118	554	29
20200313235940	2020-03-13 23:59:40	Japan	701	19	118	564	29
20200314235906	2020-03-14 23:59:06	Japan	804	22	144	638	35
20200315231920	2020-03-15 23:19:20	Japan	839	24	144	671	36
20200316232604	2020-03-16 23:26:04	Japan	827	27	144	656	41
20200317234753	2020-03-17 23:47:53	Japan	878	29	144	705	41
20200318234401	2020-03-18 23:44:01	Japan	878	29	144	705	41
20200319131523	2020-03-19 13:15:23	Japan	914	29	191	694	41
20200320120009	2020-03-20 12:00:09	Japan	943	33	191	719	46
20200321120003	2020-03-21 12:00:03	Japan	1007	35	215	757	50
20200322120004	2020-03-22 12:00:04	Japan	1054	36	215	803	55
20200323120003	2020-03-23 12:00:03	Japan	1101	41	235	825	49
20200324120004	2020-03-24 12:00:04	Japan	1128	42	235	851	49
20200325120004	2020-03-25 12:00:04	Japan	1193	43	285	865	54
20200326120004	2020-03-26 12:00:04	Japan	1307	45	310	952	57
20200327120003	2020-03-27 12:00:03	Japan	1387	47	359	981	57
20200328000003	2020-03-28 00:00:03	Japan	1387	47	359	981	57
20200330165358	2020-03-30 16:53:58	Japan	1866	54	424	1388	56
20200331120003	2020-03-31 12:00:03	Japan	1953	56	424	1473	56
20200401120003	2020-04-01 12:00:03	Japan	2178	57	424	1697	69
20200402120004	2020-04-02 12:00:04	Japan	2384	57	472	1855	69
20200403120003	2020-04-03 12:00:03	Japan	2617	63	472	2082	60
20200404120004	2020-04-04 12:00:04	Japan	2935	69	514	2352	60
20200405120003	2020-04-05 12:00:03	Japan	3139	77	514	2548	64
20200406120003	2020-04-06 12:00:03	Japan	3654	85	575	2994	69
