timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200313235940	2020-03-13 23:59:40	Kazakhstan	4	0	0	4	0
20200314235906	2020-03-14 23:59:06	Kazakhstan	6	0	0	6	0
20200315231920	2020-03-15 23:19:20	Kazakhstan	9	0	0	9	0
20200316232604	2020-03-16 23:26:04	Kazakhstan	10	0	0	10	0
20200317234753	2020-03-17 23:47:53	Kazakhstan	33	0	0	33	0
20200318234401	2020-03-18 23:44:01	Kazakhstan	33	0	0	33	0
20200319131523	2020-03-19 13:15:23	Kazakhstan	36	0	0	36	0
20200320120009	2020-03-20 12:00:09	Kazakhstan	44	0	0	44	0
20200321120003	2020-03-21 12:00:03	Kazakhstan	52	0	0	52	0
20200322120004	2020-03-22 12:00:04	Kazakhstan	54	0	0	54	0
20200323120003	2020-03-23 12:00:03	Kazakhstan	60	0	0	60	0
20200324120004	2020-03-24 12:00:04	Kazakhstan	62	0	0	62	0
20200325120004	2020-03-25 12:00:04	Kazakhstan	72	0	0	72	0
20200326120004	2020-03-26 12:00:04	Kazakhstan	81	0	0	81	0
20200327120003	2020-03-27 12:00:03	Kazakhstan	113	1	2	110	0
20200328000003	2020-03-28 00:00:03	Kazakhstan	113	1	2	110	0
20200330165358	2020-03-30 16:53:58	Kazakhstan	284	1	20	263	0
20200331120003	2020-03-31 12:00:03	Kazakhstan	302	1	21	280	0
20200401120003	2020-04-01 12:00:03	Kazakhstan	343	2	24	317	6
20200402120004	2020-04-02 12:00:04	Kazakhstan	380	3	26	351	6
20200403120003	2020-04-03 12:00:03	Kazakhstan	435	3	27	405	6
20200404120004	2020-04-04 12:00:04	Kazakhstan	464	3	29	432	6
20200405120003	2020-04-05 12:00:03	Kazakhstan	531	5	36	490	6
20200406120003	2020-04-06 12:00:03	Kazakhstan	584	6	42	536	6
