timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200313235940	2020-03-13 23:59:40	Kenya	1	0	0	1	0
20200314235906	2020-03-14 23:59:06	Kenya	1	0	0	1	0
20200315231920	2020-03-15 23:19:20	Kenya	3	0	0	3	0
20200316232604	2020-03-16 23:26:04	Kenya	3	0	0	3	0
20200317234753	2020-03-17 23:47:53	Kenya	4	0	0	4	0
20200318234401	2020-03-18 23:44:01	Kenya	4	0	0	4	0
20200319131523	2020-03-19 13:15:23	Kenya	7	0	0	7	0
20200320120009	2020-03-20 12:00:09	Kenya	7	0	0	7	0
20200321120003	2020-03-21 12:00:03	Kenya	7	0	0	7	0
20200322120004	2020-03-22 12:00:04	Kenya	7	0	0	7	0
