timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200224234216	2020-02-24 23:42:16	Kuwait	5	0	0		0
20200225235434	2020-02-25 23:54:34	Kuwait	11	0	0		0
20200226234848	2020-02-26 23:48:48	Kuwait	26	0	0		0
20200227234720	2020-02-27 23:47:20	Kuwait	43	0	0		0
20200228231028	2020-02-28 23:10:28	Kuwait	45	0	0		0
20200229235144	2020-02-29 23:51:44	Kuwait	45	0	0	45	0
20200301234648	2020-03-01 23:46:48	Kuwait	46	0	0	46	0
20200302224751	2020-03-02 22:47:51	Kuwait	56	0	0	56	0
20200303231332	2020-03-03 23:13:32	Kuwait	56	0	0	56	0
20200304230748	2020-03-04 23:07:48	Kuwait	56	0	0	56	0
20200305224916	2020-03-05 22:49:16	Kuwait	58	0	0	58	0
20200306224331	2020-03-06 22:43:31	Kuwait	58	0	1	57	0
20200307225610	2020-03-07 22:56:10	Kuwait	61	0	1	60	0
20200308232251	2020-03-08 23:22:51	Kuwait	64	0	1	63	3
20200309234747	2020-03-09 23:47:47	Kuwait	65	0	1	64	3
20200310233243	2020-03-10 23:32:43	Kuwait	69	0	1	68	3
20200311234701	2020-03-11 23:47:01	Kuwait	72	0	2	70	3
20200312233926	2020-03-12 23:39:26	Kuwait	80	0	5	75	4
20200313235940	2020-03-13 23:59:40	Kuwait	100	0	5	95	4
20200314235906	2020-03-14 23:59:06	Kuwait	104	0	5	99	4
20200315231920	2020-03-15 23:19:20	Kuwait	112	0	9	103	4
20200316232604	2020-03-16 23:26:04	Kuwait	123	0	9	114	4
20200317234753	2020-03-17 23:47:53	Kuwait	130	0	12	118	4
20200318234401	2020-03-18 23:44:01	Kuwait	130	0	12	118	4
20200319131523	2020-03-19 13:15:23	Kuwait	142	0	15	127	4
20200320120009	2020-03-20 12:00:09	Kuwait	148	0	18	130	5
20200321120003	2020-03-21 12:00:03	Kuwait	159	0	22	137	5
20200322120004	2020-03-22 12:00:04	Kuwait	176	0	27	149	5
20200323120003	2020-03-23 12:00:03	Kuwait	188	0	30	158	5
20200324120004	2020-03-24 12:00:04	Kuwait	189	0	30	159	5
20200325120004	2020-03-25 12:00:04	Kuwait	191	0	39	152	5
20200326120004	2020-03-26 12:00:04	Kuwait	195	0	43	152	6
20200327120003	2020-03-27 12:00:03	Kuwait	208	0	49	159	7
20200328000003	2020-03-28 00:00:03	Kuwait	208	0	49	159	7
20200330165358	2020-03-30 16:53:58	Kuwait	255	0	67	188	12
