timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200319131523	2020-03-19 13:15:23	Kyrgyzstan	3	0	0	3	0
20200320120009	2020-03-20 12:00:09	Kyrgyzstan	3	0	0	3	0
20200321120003	2020-03-21 12:00:03	Kyrgyzstan	6	0	0	6	0
20200322120004	2020-03-22 12:00:04	Kyrgyzstan	14	0	0	14	0
20200323120003	2020-03-23 12:00:03	Kyrgyzstan	14	0	0	14	0
20200324120004	2020-03-24 12:00:04	Kyrgyzstan	16	0	0	16	0
20200325120004	2020-03-25 12:00:04	Kyrgyzstan	42	0	0	42	0
20200326120004	2020-03-26 12:00:04	Kyrgyzstan	44	0	0	44	0
20200327120003	2020-03-27 12:00:03	Kyrgyzstan	44	0	0	44	0
20200328000003	2020-03-28 00:00:03	Kyrgyzstan	44	0	0	44	0
20200330165358	2020-03-30 16:53:58	Kyrgyzstan	84	0	0	84	0
20200331120003	2020-03-31 12:00:03	Kyrgyzstan	94	0	3	91	0
20200401120003	2020-04-01 12:00:03	Kyrgyzstan	107	0	3	104	0
20200402120004	2020-04-02 12:00:04	Kyrgyzstan	111	0	3	108	3
20200403120003	2020-04-03 12:00:03	Kyrgyzstan	116	0	5	111	5
20200404120004	2020-04-04 12:00:04	Kyrgyzstan	130	1	6	123	5
20200405120003	2020-04-05 12:00:03	Kyrgyzstan	144	1	9	134	5
20200406120003	2020-04-06 12:00:03	Kyrgyzstan	147	1	9	137	5
