timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200221233317	2020-02-21 23:33:17	Lebanon	1	0	0		0
20200222234612	2020-02-22 23:46:12	Lebanon	1	0	0		0
20200223235611	2020-02-23 23:56:11	Lebanon	1	0	0		0
20200224234216	2020-02-24 23:42:16	Lebanon	1	0	0		0
20200225235434	2020-02-25 23:54:34	Lebanon	1	0	0		0
20200226234848	2020-02-26 23:48:48	Lebanon	2	0	0		0
20200227234720	2020-02-27 23:47:20	Lebanon	3	0	0		0
20200228231028	2020-02-28 23:10:28	Lebanon	3	0	0		0
20200229235144	2020-02-29 23:51:44	Lebanon	7	0	0	7	0
20200301234648	2020-03-01 23:46:48	Lebanon	10	0	0	10	0
20200302224751	2020-03-02 22:47:51	Lebanon	13	0	0	13	0
20200303231332	2020-03-03 23:13:32	Lebanon	13	0	0	13	0
20200304230748	2020-03-04 23:07:48	Lebanon	15	0	0	15	0
20200305224916	2020-03-05 22:49:16	Lebanon	16	0	0	16	1
20200306224331	2020-03-06 22:43:31	Lebanon	22	0	0	22	1
20200307225610	2020-03-07 22:56:10	Lebanon	28	0	1	27	3
20200308232251	2020-03-08 23:22:51	Lebanon	32	0	1	31	3
20200309234747	2020-03-09 23:47:47	Lebanon	41	0	1	40	3
20200310233243	2020-03-10 23:32:43	Lebanon	52	1	1	50	3
20200311234701	2020-03-11 23:47:01	Lebanon	61	2	1	58	3
20200312233926	2020-03-12 23:39:26	Lebanon	68	3	1	64	3
20200313235940	2020-03-13 23:59:40	Lebanon	77	3	1	73	3
20200314235906	2020-03-14 23:59:06	Lebanon	93	3	1	89	3
20200315231920	2020-03-15 23:19:20	Lebanon	99	3	1	95	3
20200316232604	2020-03-16 23:26:04	Lebanon	109	3	3	103	3
20200317234753	2020-03-17 23:47:53	Lebanon	124	4	4	116	3
20200318234401	2020-03-18 23:44:01	Lebanon	124	4	4	116	3
20200319131523	2020-03-19 13:15:23	Lebanon	133	4	4	125	3
