timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200321120003	2020-03-21 12:00:03	Madagascar	3	0	0	3	0
20200322120004	2020-03-22 12:00:04	Madagascar	3	0	0	3	0
20200323120003	2020-03-23 12:00:03	Madagascar	3	0	0	3	0
20200324120004	2020-03-24 12:00:04	Madagascar	12	0	0	12	0
20200325120004	2020-03-25 12:00:04	Madagascar	17	0	0	17	0
20200326120004	2020-03-26 12:00:04	Madagascar	19	0	0	19	0
20200327120003	2020-03-27 12:00:03	Madagascar	23	0	0	23	0
20200328000003	2020-03-28 00:00:03	Madagascar	23	0	0	23	0
20200330165358	2020-03-30 16:53:58	Madagascar	39	0	0	39	0
20200331120003	2020-03-31 12:00:03	Madagascar	43	0	0	43	0
20200401120003	2020-04-01 12:00:03	Madagascar	57	0	0	57	6
20200402120004	2020-04-02 12:00:04	Madagascar	57	0	0	57	6
20200403120003	2020-04-03 12:00:03	Madagascar	59	0	0	59	6
20200404120004	2020-04-04 12:00:04	Madagascar	70	0	0	70	6
20200405120003	2020-04-05 12:00:03	Madagascar	70	0	0	70	6
20200406120003	2020-04-06 12:00:03	Madagascar	72	0	2	70	6
