timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200326120004	2020-03-26 12:00:04	Mali	2	0	0	2	0
20200327120003	2020-03-27 12:00:03	Mali	4	0	0	4	0
20200328000003	2020-03-28 00:00:03	Mali	4	0	0	4	0
20200330165358	2020-03-30 16:53:58	Mali	18	1	0	17	0
20200331120003	2020-03-31 12:00:03	Mali	25	2	0	23	0
20200401120003	2020-04-01 12:00:03	Mali	28	2	0	26	0
20200402120004	2020-04-02 12:00:04	Mali	31	3	0	28	0
20200403120003	2020-04-03 12:00:03	Mali	36	3	0	33	0
20200404120004	2020-04-04 12:00:04	Mali	39	3	0	36	0
20200405120003	2020-04-05 12:00:03	Mali	41	3	1	37	0
20200406120003	2020-04-06 12:00:03	Mali	45	5	1	39	0
