timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200319131523	2020-03-19 13:15:23	Mauritius	3	0	0	3	0
20200320120009	2020-03-20 12:00:09	Mauritius	7	0	0	7	0
20200321120003	2020-03-21 12:00:03	Mauritius	12	0	0	12	0
20200322120004	2020-03-22 12:00:04	Mauritius	14	1	0	13	0
20200323120003	2020-03-23 12:00:03	Mauritius	28	2	0	26	1
20200324120004	2020-03-24 12:00:04	Mauritius	36	2	0	34	1
20200325120004	2020-03-25 12:00:04	Mauritius	42	2	0	40	1
20200326120004	2020-03-26 12:00:04	Mauritius	48	2	0	46	1
20200327120003	2020-03-27 12:00:03	Mauritius	81	2	0	79	1
20200328000003	2020-03-28 00:00:03	Mauritius	81	2	0	79	1
20200330165358	2020-03-30 16:53:58	Mauritius	107	3	0	104	1
20200331120003	2020-03-31 12:00:03	Mauritius	128	3	0	125	1
20200401120003	2020-04-01 12:00:03	Mauritius	143	5	0	138	1
20200402120004	2020-04-02 12:00:04	Mauritius	161	6	0	155	1
