timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200228231028	2020-02-28 23:10:28	Mexico	2	0	0		0
20200229235144	2020-02-29 23:51:44	Mexico	3	0	0	3	0
20200301234648	2020-03-01 23:46:48	Mexico	5	0	0	5	0
20200302224751	2020-03-02 22:47:51	Mexico	5	0	0	5	0
20200303231332	2020-03-03 23:13:32	Mexico	6	0	1	5	0
20200304230748	2020-03-04 23:07:48	Mexico	6	0	1	5	0
20200305224916	2020-03-05 22:49:16	Mexico	6	0	1	5	0
20200306224331	2020-03-06 22:43:31	Mexico	6	0	1	5	0
20200307225610	2020-03-07 22:56:10	Mexico	6	0	1	5	0
20200308232251	2020-03-08 23:22:51	Mexico	7	0	1	6	1
20200309234747	2020-03-09 23:47:47	Mexico	7	0	1	6	1
20200310233243	2020-03-10 23:32:43	Mexico	7	0	4	3	1
20200311234701	2020-03-11 23:47:01	Mexico	8	0	4	4	1
20200312233926	2020-03-12 23:39:26	Mexico	12	0	4	8	1
20200313235940	2020-03-13 23:59:40	Mexico	12	0	4	8	1
20200314235906	2020-03-14 23:59:06	Mexico	26	0	4	22	1
20200315231920	2020-03-15 23:19:20	Mexico	43	0	4	39	1
20200316232604	2020-03-16 23:26:04	Mexico	53	0	4	49	1
20200317234753	2020-03-17 23:47:53	Mexico	82	0	4	78	1
20200318234401	2020-03-18 23:44:01	Mexico	82	0	4	78	1
20200319131523	2020-03-19 13:15:23	Mexico	93	0	4	89	1
20200320120009	2020-03-20 12:00:09	Mexico	118	1	4	113	1
20200321120003	2020-03-21 12:00:03	Mexico	164	1	4	159	1
20200322120004	2020-03-22 12:00:04	Mexico	203	2	4	197	1
20200323120003	2020-03-23 12:00:03	Mexico	251	2	4	245	1
20200324120004	2020-03-24 12:00:04	Mexico	316	3	4	309	1
20200325120004	2020-03-25 12:00:04	Mexico	367	4	4	359	1
20200326120004	2020-03-26 12:00:04	Mexico	405	5	4	396	1
20200327120003	2020-03-27 12:00:03	Mexico	475	6	4	465	1
20200328000003	2020-03-28 00:00:03	Mexico	475	6	4	465	1
20200330165358	2020-03-30 16:53:58	Mexico	848	16	35	797	1
