timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200307225610	2020-03-07 22:56:10	Moldova	1	0	0	1	0
20200308232251	2020-03-08 23:22:51	Moldova	1	0	0	1	0
20200309234747	2020-03-09 23:47:47	Moldova	1	0	0	1	0
20200310233243	2020-03-10 23:32:43	Moldova	3	0	0	3	0
20200311234701	2020-03-11 23:47:01	Moldova	3	0	0	3	0
20200312233926	2020-03-12 23:39:26	Moldova	6	0	0	6	0
20200313235940	2020-03-13 23:59:40	Moldova	6	0	0	6	0
20200314235906	2020-03-14 23:59:06	Moldova	12	0	0	12	0
20200315231920	2020-03-15 23:19:20	Moldova	23	0	0	23	0
20200316232604	2020-03-16 23:26:04	Moldova	29	0	1	28	1
20200317234753	2020-03-17 23:47:53	Moldova	30	0	1	29	1
20200318234401	2020-03-18 23:44:01	Moldova	30	0	1	29	1
20200319131523	2020-03-19 13:15:23	Moldova	36	1	1	34	2
20200320120009	2020-03-20 12:00:09	Moldova	49	1	1	47	3
20200321120003	2020-03-21 12:00:03	Moldova	66	1	1	64	3
20200322120004	2020-03-22 12:00:04	Moldova	80	1	1	78	3
20200323120003	2020-03-23 12:00:03	Moldova	94	1	1	92	3
20200324120004	2020-03-24 12:00:04	Moldova	109	1	2	106	3
20200325120004	2020-03-25 12:00:04	Moldova	125	1	2	122	10
20200326120004	2020-03-26 12:00:04	Moldova	149	1	2	146	20
20200327120003	2020-03-27 12:00:03	Moldova	177	1	2	174	28
20200328000003	2020-03-28 00:00:03	Moldova	177	1	2	174	28
20200330165358	2020-03-30 16:53:58	Moldova	263	2	2	259	33
