timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200302224751	2020-03-02 22:47:51	Morocco	1	0	0	1	0
20200303231332	2020-03-03 23:13:32	Morocco	1	0	0	1	0
20200304230748	2020-03-04 23:07:48	Morocco	1	0	0	1	0
20200305224916	2020-03-05 22:49:16	Morocco	2	0	0	2	1
20200306224331	2020-03-06 22:43:31	Morocco	2	0	0	2	1
20200307225610	2020-03-07 22:56:10	Morocco	2	0	0	2	1
20200308232251	2020-03-08 23:22:51	Morocco	2	0	0	2	1
20200309234747	2020-03-09 23:47:47	Morocco	2	0	0	2	1
20200310233243	2020-03-10 23:32:43	Morocco	3	1	0	2	1
20200311234701	2020-03-11 23:47:01	Morocco	6	1	0	5	1
20200312233926	2020-03-12 23:39:26	Morocco	6	1	0	5	1
20200313235940	2020-03-13 23:59:40	Morocco	7	1	1	5	1
20200314235906	2020-03-14 23:59:06	Morocco	18	1	1	16	1
20200315231920	2020-03-15 23:19:20	Morocco	28	1	1	26	1
20200316232604	2020-03-16 23:26:04	Morocco	38	1	1	36	1
20200317234753	2020-03-17 23:47:53	Morocco	44	2	1	41	1
20200318234401	2020-03-18 23:44:01	Morocco	44	2	1	41	1
20200319131523	2020-03-19 13:15:23	Morocco	54	2	1	51	1
