timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200323120003	2020-03-23 12:00:03	Mozambique	1	0	0	1	0
20200324120004	2020-03-24 12:00:04	Mozambique	1	0	0	1	0
20200325120004	2020-03-25 12:00:04	Mozambique	3	0	0	3	0
20200326120004	2020-03-26 12:00:04	Mozambique	5	0	0	5	0
20200327120003	2020-03-27 12:00:03	Mozambique	7	0	0	7	0
20200328000003	2020-03-28 00:00:03	Mozambique	7	0	0	7	0
20200330165358	2020-03-30 16:53:58	Mozambique	8	0	0	8	0
20200331120003	2020-03-31 12:00:03	Mozambique	8	0	0	8	0
20200401120003	2020-04-01 12:00:03	Mozambique	8	0	0	8	0
20200402120004	2020-04-02 12:00:04	Mozambique	10	0	0	10	0
