timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200319131523	2020-03-19 13:15:23	New Caledonia	2	0	0	2	0
20200320120009	2020-03-20 12:00:09	New Caledonia	2	0	0	2	0
20200321120003	2020-03-21 12:00:03	New Caledonia	2	0	0	2	0
20200322120004	2020-03-22 12:00:04	New Caledonia	4	0	0	4	0
20200323120003	2020-03-23 12:00:03	New Caledonia	4	0	0	4	0
20200324120004	2020-03-24 12:00:04	New Caledonia	8	0	0	8	0
20200325120004	2020-03-25 12:00:04	New Caledonia	10	0	0	10	0
20200326120004	2020-03-26 12:00:04	New Caledonia	14	0	0	14	0
20200327120003	2020-03-27 12:00:03	New Caledonia	14	0	0	14	0
20200328000003	2020-03-28 00:00:03	New Caledonia	14	0	0	14	0
20200330165358	2020-03-30 16:53:58	New Caledonia	15	0	0	15	0
20200331120003	2020-03-31 12:00:03	New Caledonia	15	0	0	15	0
20200401120003	2020-04-01 12:00:03	New Caledonia	16	0	0	16	0
20200402120004	2020-04-02 12:00:04	New Caledonia	16	0	1	15	0
