timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200320120009	2020-03-20 12:00:09	Niger	1	0	0	1	0
20200321120003	2020-03-21 12:00:03	Niger	1	0	0	1	0
20200322120004	2020-03-22 12:00:04	Niger	1	0	0	1	0
20200323120003	2020-03-23 12:00:03	Niger	2	0	0	2	0
20200324120004	2020-03-24 12:00:04	Niger	3	0	0	3	0
20200325120004	2020-03-25 12:00:04	Niger	3	0	0	3	0
20200326120004	2020-03-26 12:00:04	Niger	7	1	0	6	0
20200327120003	2020-03-27 12:00:03	Niger	10	1	0	9	0
20200328000003	2020-03-28 00:00:03	Niger	10	1	0	9	0
20200330165358	2020-03-30 16:53:58	Niger	18	1	0	17	0
20200331120003	2020-03-31 12:00:03	Niger	27	3	0	24	0
20200401120003	2020-04-01 12:00:03	Niger	34	3	0	31	0
20200402120004	2020-04-02 12:00:04	Niger	74	5	0	69	0
20200403120003	2020-04-03 12:00:03	Niger	98	5	0	93	0
20200404120004	2020-04-04 12:00:04	Niger	120	5	0	115	0
20200405120003	2020-04-05 12:00:03	Niger	144	8	0	136	0
20200406120003	2020-04-06 12:00:03	Niger	184	10	13	161	0
