timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200226234848	2020-02-26 23:48:48	North Macedonia	1	0	0		0
20200227234720	2020-02-27 23:47:20	North Macedonia	1	0	0		0
20200228231028	2020-02-28 23:10:28	North Macedonia	1	0	0		0
20200229235144	2020-02-29 23:51:44	North Macedonia	1	0	0	1	0
20200301234648	2020-03-01 23:46:48	North Macedonia	1	0	0	1	0
20200302224751	2020-03-02 22:47:51	North Macedonia	1	0	0	1	0
20200303231332	2020-03-03 23:13:32	North Macedonia	1	0	0	1	0
20200304230748	2020-03-04 23:07:48	North Macedonia	1	0	0	1	0
20200305224916	2020-03-05 22:49:16	North Macedonia	1	0	0	1	0
20200306224331	2020-03-06 22:43:31	North Macedonia	3	0	0	3	0
20200307225610	2020-03-07 22:56:10	North Macedonia	3	0	0	3	0
20200308232251	2020-03-08 23:22:51	North Macedonia	3	0	0	3	0
20200309234747	2020-03-09 23:47:47	North Macedonia	4	0	0	4	0
20200310233243	2020-03-10 23:32:43	North Macedonia	7	0	0	7	0
20200311234701	2020-03-11 23:47:01	North Macedonia	7	0	0	7	0
20200312233926	2020-03-12 23:39:26	North Macedonia	9	0	1	8	0
20200313235940	2020-03-13 23:59:40	North Macedonia	14	0	1	13	0
20200314235906	2020-03-14 23:59:06	North Macedonia	13	0	1	12	0
20200315231920	2020-03-15 23:19:20	North Macedonia	19	0	1	18	0
20200316232604	2020-03-16 23:26:04	North Macedonia	19	0	1	18	1
20200317234753	2020-03-17 23:47:53	North Macedonia	31	0	1	30	1
20200318234401	2020-03-18 23:44:01	North Macedonia	31	0	1	30	1
20200319131523	2020-03-19 13:15:23	North Macedonia	43	0	1	42	1
20200320120009	2020-03-20 12:00:09	North Macedonia	50	0	1	49	1
20200321120003	2020-03-21 12:00:03	North Macedonia	76	0	1	75	1
20200322120004	2020-03-22 12:00:04	North Macedonia	85	0	1	84	1
20200323120003	2020-03-23 12:00:03	North Macedonia	115	1	1	113	1
20200324120004	2020-03-24 12:00:04	North Macedonia	136	2	1	133	1
