timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200226234848	2020-02-26 23:48:48	Norway	1	0	0		0
20200227234720	2020-02-27 23:47:20	Norway	4	0	0		0
20200228231028	2020-02-28 23:10:28	Norway	6	0	0		0
20200229235144	2020-02-29 23:51:44	Norway	15	0	0	15	0
20200301234648	2020-03-01 23:46:48	Norway	19	0	0	19	0
20200302224751	2020-03-02 22:47:51	Norway	25	0	0	25	0
20200303231332	2020-03-03 23:13:32	Norway	33	0	0	33	0
20200304230748	2020-03-04 23:07:48	Norway	59	0	0	59	0
20200305224916	2020-03-05 22:49:16	Norway	91	0	0	91	0
20200306224331	2020-03-06 22:43:31	Norway	127	0	1	126	0
20200307225610	2020-03-07 22:56:10	Norway	156	0	0	156	0
20200308232251	2020-03-08 23:22:51	Norway	176	0	1	175	0
20200309234747	2020-03-09 23:47:47	Norway	227	0	1	226	0
20200310233243	2020-03-10 23:32:43	Norway	400	0	1	399	0
20200311234701	2020-03-11 23:47:01	Norway	629	0	1	628	0
20200312233926	2020-03-12 23:39:26	Norway	800	1	1	798	0
20200313235940	2020-03-13 23:59:40	Norway	996	1	1	994	27
20200314235906	2020-03-14 23:59:06	Norway	1108	3	1	1104	27
20200315231920	2020-03-15 23:19:20	Norway	1254	3	1	1250	27
20200316232604	2020-03-16 23:26:04	Norway	1348	3	1	1344	27
20200317234753	2020-03-17 23:47:53	Norway	1470	3	1	1466	27
20200318234401	2020-03-18 23:44:01	Norway	1471	3	1	1467	27
20200319131523	2020-03-19 13:15:23	Norway	1591	6	1	1584	27
20200320120009	2020-03-20 12:00:09	Norway	1790	7	1	1782	27
20200321120003	2020-03-21 12:00:03	Norway	1959	7	1	1951	27
20200322120004	2020-03-22 12:00:04	Norway	2164	7	6	2151	28
