timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200226234848	2020-02-26 23:48:48	Pakistan	2	0	0		0
20200227234720	2020-02-27 23:47:20	Pakistan	2	0	0		0
20200228231028	2020-02-28 23:10:28	Pakistan	2	0	0		0
20200229235144	2020-02-29 23:51:44	Pakistan	4	0	0	4	0
20200301234648	2020-03-01 23:46:48	Pakistan	4	0	0	4	0
20200302224751	2020-03-02 22:47:51	Pakistan	4	0	0	4	0
20200303231332	2020-03-03 23:13:32	Pakistan	5	0	0	5	0
20200304230748	2020-03-04 23:07:48	Pakistan	5	0	0	5	0
20200305224916	2020-03-05 22:49:16	Pakistan	5	0	0	5	0
20200306224331	2020-03-06 22:43:31	Pakistan	6	0	1	5	0
20200307225610	2020-03-07 22:56:10	Pakistan	6	0	1	5	0
20200308232251	2020-03-08 23:22:51	Pakistan	7	0	1	6	0
20200309234747	2020-03-09 23:47:47	Pakistan	16	0	1	15	0
20200310233243	2020-03-10 23:32:43	Pakistan	19	0	2	17	0
20200311234701	2020-03-11 23:47:01	Pakistan	19	0	2	17	0
20200312233926	2020-03-12 23:39:26	Pakistan	21	0	2	19	0
20200313235940	2020-03-13 23:59:40	Pakistan	28	0	2	26	0
20200314235906	2020-03-14 23:59:06	Pakistan	31	0	2	29	0
20200315231920	2020-03-15 23:19:20	Pakistan	53	0	2	51	0
20200316232604	2020-03-16 23:26:04	Pakistan	184	1	2	181	0
20200317234753	2020-03-17 23:47:53	Pakistan	247	0	2	245	0
20200318234401	2020-03-18 23:44:01	Pakistan	247	0	2	245	0
20200319131523	2020-03-19 13:15:23	Pakistan	307	2	13	292	0
