timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200305224916	2020-03-05 22:49:16	Palestine	7	0	0	7	0
20200306224331	2020-03-06 22:43:31	Palestine	16	0	0	16	0
20200307225610	2020-03-07 22:56:10	Palestine	19	0	0	19	0
20200308232251	2020-03-08 23:22:51	Palestine	19	0	0	19	0
20200309234747	2020-03-09 23:47:47	Palestine	25	0	0	25	0
20200310233243	2020-03-10 23:32:43	Palestine	29	0	0	29	0
20200311234701	2020-03-11 23:47:01	Palestine	30	0	0	30	0
20200312233926	2020-03-12 23:39:26	Palestine	31	0	0	31	0
20200313235940	2020-03-13 23:59:40	Palestine	35	0	0	35	0
20200314235906	2020-03-14 23:59:06	Palestine	38	0	0	38	0
20200315231920	2020-03-15 23:19:20	Palestine	38	0	0	38	0
20200316232604	2020-03-16 23:26:04	Palestine	39	0	0	39	0
20200317234753	2020-03-17 23:47:53	Palestine	41	0	0	41	0
20200318234401	2020-03-18 23:44:01	Palestine	44	0	0	44	0
20200319131523	2020-03-19 13:15:23	Palestine	44	0	0	44	0
20200320120009	2020-03-20 12:00:09	Palestine	47	0	0	47	0
20200321120003	2020-03-21 12:00:03	Palestine	48	0	17	31	0
20200322120004	2020-03-22 12:00:04	Palestine	53	0	17	36	0
20200323120003	2020-03-23 12:00:03	Palestine	59	0	17	42	0
20200324120004	2020-03-24 12:00:04	Palestine	59	0	17	42	0
20200325120004	2020-03-25 12:00:04	Palestine	60	0	16	44	0
20200326120004	2020-03-26 12:00:04	Palestine	71	1	16	54	0
20200327120003	2020-03-27 12:00:03	Palestine	86	1	17	68	0
20200328000003	2020-03-28 00:00:03	Palestine	86	1	17	68	0
20200330165358	2020-03-30 16:53:58	Palestine	109	1	18	90	0
20200331120003	2020-03-31 12:00:03	Palestine	117	1	18	98	0
20200401120003	2020-04-01 12:00:03	Palestine	119	1	18	100	0
20200402120004	2020-04-02 12:00:04	Palestine	134	1	18	115	0
20200403120003	2020-04-03 12:00:03	Palestine	161	1	18	142	0
20200404120004	2020-04-04 12:00:04	Palestine	194	1	21	172	0
20200405120003	2020-04-05 12:00:03	Palestine	217	1	21	195	0
20200406120003	2020-04-06 12:00:03	Palestine	237	1	25	211	0
