timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200307225610	2020-03-07 22:56:10	Paraguay	1	0	0	1	0
20200308232251	2020-03-08 23:22:51	Paraguay	1	0	0	1	0
20200309234747	2020-03-09 23:47:47	Paraguay	1	0	0	1	0
20200310233243	2020-03-10 23:32:43	Paraguay	2	0	0	2	0
20200311234701	2020-03-11 23:47:01	Paraguay	5	0	0	5	1
20200312233926	2020-03-12 23:39:26	Paraguay	5	0	0	5	1
20200313235940	2020-03-13 23:59:40	Paraguay	6	0	0	6	1
20200314235906	2020-03-14 23:59:06	Paraguay	7	0	0	7	1
20200315231920	2020-03-15 23:19:20	Paraguay	7	0	0	7	1
20200316232604	2020-03-16 23:26:04	Paraguay	8	0	0	8	1
20200317234753	2020-03-17 23:47:53	Paraguay	9	0	0	9	1
20200318234401	2020-03-18 23:44:01	Paraguay	9	0	0	9	1
20200319131523	2020-03-19 13:15:23	Paraguay	11	0	0	11	1
